SEQ,COND,FUYU,OTTER,ADAPTER,GPT-4V,CLAUDE-3
1,Color,Blue,White,White,White,White
2,Color,Red,White,White,White,White
3,Color,Red,White,Blue,White,White
4,Color,Red,White,White,White,White
5,Color,Red,White,White,White,White
6,Color,Blue,Blue,White,White,White
7,Color,Red,White,White,White,White
8,Color,Red,White,Blue,White,White
9,Color,Red,White,White,White,White
10,Color,Blue,White,White,White,White
11,Color,Red,White,Blue,White,White
12,Color,Red,White,White,White,White
13,Color,Red,White,White,White,White
14,Color,Red,White,White,White,White
15,Color,Red,White,Blue,White,White
16,Color,Red,Blue,Blue,White,White
17,Color,Red,White,White,White,White
18,Color,Red,White,White,White,White
19,Color,Red,White,White,White,White
20,Color,Red,White,Blue,White,White
21,Color,Red,White,White,White,White
22,Color,Red,White,White,White,White
23,Color,Red,White,White,White,White
24,Color,Red,White,Blue,White,White
1,Number,4,2,2,1,1
2,Number,3,2,2,3,4
3,Number,4,2,2,1,2
4,Number,4,2,2,1,2
5,Number,1,2,2,1,1
6,Number,1,4,2,1,1
7,Number,4,2,2,1,1
8,Number,1,2,2,1,1
9,Number,3,4,2,2,2
10,Number,4,4,2,1,1
11,Number,4,4,2,1,1
12,Number,1,2,2,1,1
13,Number,4,2,2,1,1
14,Number,1,2,2,3,2
15,Number,4,2,2,1,1
16,Number,3,2,2,1,1
17,Number,3,2,2,1,1
18,Number,4,2,2,3,1
19,Number,1,4,2,1,1
20,Number,2,4,2,1,2
21,Number,3,2,2,1,1
22,Number,3,2,2,1,1
23,Number,4,4,2,1,1
24,Number,4,2,2,1,1
1,Intention,NA,100,NA,50,75
2,Intention,NA,50,50,0,100
3,Intention,NA,100,NA,50,0
4,Intention,NA,100,NA,50,75
5,Intention,NA,50,NA,50,75
6,Intention,NA,0,NA,50,100
7,Intention,NA,50,NA,0,100
8,Intention,NA,0,NA,50,0
9,Intention,NA,100,NA,50,100
10,Intention,NA,100,NA,50,100
11,Intention,NA,0,NA,0,0
12,Intention,NA,100,NA,0,100
13,Intention,NA,100,NA,0,100
14,Intention,NA,50,NA,50,100
15,Intention,NA,50,NA,50,75
16,Intention,NA,100,NA,50,0
17,Intention,NA,100,NA,50,75
18,Intention,NA,100,NA,50,100
19,Intention,NA,50,NA,0,0
20,Intention,NA,100,NA,50,75
21,Intention,NA,100,NA,0,100
22,Intention,NA,100,NA,50,100
23,Intention,NA,100,NA,50,75
24,Intention,NA,100,NA,50,0
1,Counterfactual,NA,90,NA,50,50
2,Counterfactual,NA,80,NA,50,50
3,Counterfactual,NA,100,NA,50,0
4,Counterfactual,NA,90,NA,50,50
5,Counterfactual,NA,80,NA,50,100
6,Counterfactual,NA,60,NA,50,100
7,Counterfactual,NA,10,NA,50,50
8,Counterfactual,NA,60,NA,0,0
9,Counterfactual,NA,NA,NA,0,0
10,Counterfactual,NA,100,NA,50,100
11,Counterfactual,NA,60,NA,50,50
12,Counterfactual,NA,NA,NA,50,0
13,Counterfactual,NA,NA,NA,50,0
14,Counterfactual,NA,80,NA,0,0
15,Counterfactual,NA,NA,NA,50,100
16,Counterfactual,NA,NA,NA,50,100
17,Counterfactual,NA,NA,NA,0,0
18,Counterfactual,NA,NA,NA,50,0
19,Counterfactual,NA,60,NA,0,0
20,Counterfactual,NA,50,NA,50,50
21,Counterfactual,NA,10,NA,0,0
22,Counterfactual,NA,NA,NA,50,0
23,Counterfactual,NA,NA,NA,0,50
24,Counterfactual,NA,50,NA,50,0
