Experiment,Image,Question,GT,GPT-4V,FUYU,ADAPTER,OTTER,CLAUDE-3
a,0,Color,pink,purple,,purple,purple,pink
a,0,Number,1,1,2,3,2,2
a,1,Color,pink,purple,purple,blue,purple,pink
a,1,Number,1,2,2,3,2,2
a,2,Color,pink,purple,purple,purple,purple,pink
a,2,Number,2,2,2,3,2,2
a,3,Color,pink,purple,purple,blue,purple,pink
a,3,Number,2,2,2,3,2,2
a,4,Color,pink,purple,purple,purple,purple,pink
a,4,Number,2,2,2,3,2,2
a,5,Color,pink,purple,purple,purple,purple,pink
a,5,Number,2,2,2,3,2,2
a,6,Color,pink,purple,purple,blue,purple,pink
a,6,Number,1,1,2,3,2,2
a,7,Color,pink,purple,purple,blue,purple,pink
a,7,Number,1,1,2,3,2,2
a,8,Color,pink,purple,purple,purple,purple,pink
a,8,Number,1,1,2,3,2,2
a,9,Color,pink,purple,,purple,orange,pink
a,9,Number,1,1,2,3,2,2
a,10,Color,pink,purple,,purple,purple,pink
a,10,Number,1,1,2,3,2,2
a,11,Color,pink,purple,purple,blue,orange,pink
a,11,Number,2,2,2,3,2,2
a,12,Color,pink,purple,,blue,orange,pink
a,12,Number,2,2,2,3,2,2
a,13,Color,pink,purple,purple,purple,purple,pink
a,13,Number,2,2,2,3,2,2
a,14,Color,pink,purple,purple,blue,orange,pink
a,14,Number,2,2,2,3,2,2
a,15,Color,pink,purple,purple,purple,purple,pink
a,15,Number,2,2,2,3,2,2
b,1,Color,pink,pink,pink,blue,purple,pink
b,1,Number,2,,2,,,2
b,2,Color,pink,purple,pink,blue,purple,pink
b,2,Number,2,,2,,,2
b,3,Color,pink,purple,pink,blue,orange,pink
b,3,Number,2,,2,,,2
b,4,Color,pink,pink,pink,blue,purple,pink
b,4,Number,2,,2,,,2
b,5,Color,pink,purple,pink,blue,purple,pink
b,5,Number,2,,2,,,2
b,6,Color,pink,pink,pink,blue,purple,pink
b,6,Number,2,,2,,,2
b,7,Color,pink,purple,pink,blue,purple,pink
b,7,Number,2,,2,,,2
b,8,Color,pink,purple,pink,blue,purple,pink
b,8,Number,2,,2,,,2
b,9,Color,pink,pink,pink,blue,purple,pink
b,9,Number,2,,2,,,2
b,10,Color,pink,purple,pink,blue,purple,pink
b,10,Number,2,,2,,,2
b,11,Color,pink,pink,pink,blue,purple,pink
b,11,Number,2,,2,,,2
b,12,Color,pink,purple,pink,blue,orange,pink
b,12,Number,2,,2,,,2
b,13,Color,pink,purple,pink,blue,purple,pink
b,13,Number,2,,2,,,2
b,14,Color,pink,pink,pink,blue,purple,pink
b,14,Number,2,,2,,,2
b,15,Color,pink,purple,pink,blue,purple,pink
b,15,Number,2,,2,,,2
b,16,Color,pink,pink,pink,blue,purple,pink
b,16,Number,2,,2,,,2
b,17,Color,pink,purple,pink,blue,purple,pink
b,17,Number,2,,2,,,2
c,1,Color,pink,pink,purple,purple,purple,pink
c,1,Number,1,,1,,,1
c,2,Color,pink,purple,purple,purple,purple,pink
c,2,Number,1,,1,,,1
c,3,Color,pink,purple,purple,blue,purple,pink
c,3,Number,1,,1,,,1
c,4,Color,pink,purple,purple,blue,purple,pink
c,4,Number,1,,1,,,1
c,5,Color,pink,purple,purple,blue,purple,pink
c,5,Number,1,,1,,,1
c,6,Color,pink,purple,purple,purple,purple,pink
c,6,Number,1,,1,,,1
c,7,Color,pink,purple,purple,blue,purple,pink
c,7,Number,1,,1,,,1
c,8,Color,pink,purple,purple,blue,purple,pink
c,8,Number,1,,1,,,1
c,9,Color,pink,purple,purple,blue,purple,pink
c,9,Number,1,,1,,,1
c,10,Color,pink,purple,purple,purple,purple,pink
c,10,Number,1,,1,,,1
c,11,Color,pink,purple,purple,blue,purple,pink
c,11,Number,1,,1,,,1
c,12,Color,pink,purple,purple,blue,purple,pink
c,12,Number,1,,1,,,1
c,13,Color,pink,purple,purple,blue,purple,pink
c,13,Number,1,,1,,,1
c,14,Color,pink,purple,purple,blue,purple,pink
c,14,Number,1,,1,,,1
