ExpId,Type,Variable,Lower,Upper,Human,TerrainNo,JointInference,RateInference,Heuristic,Z_JointInference,Z_RateInference,Id,GPT-4V,FUYU,ADAPTER,OTTER,CLAUDE-3
0,Cost,Outside,-0.5202368649,0.03573028696,-0.2289610171,1,6.084457773,6.609310206,-0.3840854532,0.6380850253,0.7919108745,a,5,0,5,7,8
0,Reward,TopTreat,-0.9375634682,-0.4855938119,-0.7021743259,1,5.303721968,0.627995482,-0.7348469228,-0.873092363,-1.125956131,a,0,3,8,8,7
1,Cost,Outside,-0.5843464632,-0.0815842997,-0.3294771339,1,3.761887537,5.002668577,-1.032952479,-0.6545370506,-0.3125759635,a,7,0,3,7,8
1,Reward,TopTreat,1.175348859,1.46640882,1.312890426,1,19.75168723,15.24141392,1.306394529,1.478922271,0.7596329216,a,7,3,8,8,7
2,Cost,Outside,-0.3951864276,0.0672925623,-0.1701839804,1,5.383780553,4.983377295,-0.3840854532,0.2481244426,-0.3258377679,a,5,0,,7,8
2,Reward,BottomTreat,0.6772813234,1.039508872,0.8552248893,1,15.23200261,19.17943892,1.306394529,0.7431533115,1.267761588,a,0,3,8,7,7
2,Reward,TopTreat,-0.7437859988,-0.4539676232,-0.5958700695,1,9.672943087,12.18719522,-0.7348469228,-0.1618176731,0.3655429714,a,0,3,8,8,7
3,Cost,Outside,-0.651498992,-0.2070556386,-0.4354430304,1,3.271622851,4.865191297,-1.032952479,-0.9273929351,-0.4070848095,a,7,0,5,7,8
3,Reward,BottomTreat,-1.093688256,-0.799549493,-0.9376312961,1,3.90126013,7.169131727,-0.7348469228,-1.101402074,-0.2819445159,a,0,3,8,8,7
3,Reward,TopTreat,1.255756172,1.632014705,1.410892166,1,21.0362484,19.94654603,1.306394529,1.688038684,1.366742451,a,10,3,8,8,7
4,Cost,Outside,-0.1749534977,0.4766977796,0.1514241802,1,6.800729645,7.867861908,-0.3840854532,1.036724782,1.657103065,a,7,0,,7,7
4,Reward,BottomTreat,-0.6324380235,-0.1656839397,-0.3912658689,1,5.936541403,1.131481461,-0.7348469228,-0.770074357,-1.060990657,a,0,3,8,7,7
4,Reward,TopTreat,-0.7428878748,-0.3877321958,-0.5549499915,1,6.191661856,1.397060582,-0.7348469228,-0.7285427622,-1.026722626,a,,4,8,8,7
5,Cost,Outside,-0.5586092787,-0.1180952785,-0.3380382896,1,4.098373291,5.065978948,-1.032952479,-0.4672665401,-0.2690532076,a,,0,5,7,7
