Image,Experiment,Condition,GT,HumanAvg,GPT4V,FUYU,ADAPTER,OTTER,OTTER_OLD
1,1,counting,7,,7,4,10,12,3
2,1,counting,7,,10,4,10,12,2
3,1,counting,8,,10,4,10,12,4
4,1,counting,9,,10,4,5,12,4
5,1,counting,12,,13,8,10,12,2
6,1,counting,12,,12,8,10,12,2
7,1,counting,6,,7,4,10,12,2
8,1,counting,7,,9,8,10,12,4
9,1,counting,9,,12,4,10,12,4
10,1,counting,11,,12,8,10,12,2
11,1,counting,11,,13,8,10,12,4
12,1,counting,11,,13,8,10,12,2
13,1,counting,11,,13,12,10,12,
14,1,counting,12,,13,8,10,12,4
15,1,counting,12,,13,8,10,12,
16,1,counting,14,,15,8,10,12,2
17,1,counting,15,,18,12,10,12,4
18,1,counting,18,,27,20,10,12,
19,1,counting,8,,9,4,10,12,3
20,1,counting,14,,13,8,10,12,3
21,1,counting,15,,17,12,10,12,
22,1,counting,16,,22,12,10,12,2
23,1,counting,18,,16,12,10,12,4
24,1,counting,19,,14,12,10,12,3
25,1,counting,8,,10,4,10,12,
26,1,counting,13,,13,8,10,12,4
27,1,counting,13,,13,8,10,12,
28,1,counting,14,,13,12,10,12,
29,1,counting,14,,15,8,10,12,3
30,1,counting,16,,16,12,10,12,
31,1,counting,13,,13,8,10,12,2
32,1,counting,13,,14,8,10,12,2
33,1,counting,14,,20,12,10,12,
34,1,counting,15,,16,12,10,12,4
35,1,counting,17,,17,8,10,12,
36,1,counting,18,,27,8,10,12,
37,1,counting,13,,14,8,10,12,2
38,1,counting,13,,15,8,10,12,3
39,1,counting,14,,17,12,10,12,2
40,1,counting,15,,17,8,10,12,2
41,1,counting,15,,13,8,10,12,2
42,1,counting,15,,13,12,10,12,4
1,2,prediction,0,1.48,3,3,6,5,4
2,2,prediction,0,0.903,4,2,6,5,1
3,2,prediction,0,2.06,4,4,7,6,1
4,2,prediction,0,1.42,3,3,1,1,4
5,2,prediction,,,3,3,12,12,1
6,2,prediction,0,4.1,7,4,12,12,4
7,2,prediction,0,2.1,3,2,1,5,4
8,2,prediction,1,2.23,4,4,6,5,1
9,2,prediction,1,2.61,4,4,1,9,1
10,2,prediction,1,3.81,3,4,10,9,4
11,2,prediction,2,3.45,7,4,11,9,1
12,2,prediction,0,2.03,4,1,11,9,1
13,2,prediction,0,2.77,5,4,10,9,1
14,2,prediction,2,3.23,3,4,12,12,4
15,2,prediction,2,5.26,3,4,12,12,1
16,2,prediction,2,3.65,5,4,14,12,1
17,2,prediction,0,2.03,5,1,15,12,1
18,2,prediction,2,5.16,4,12,18,12,1
19,2,prediction,2,4.45,4,4,3,7,1
20,2,prediction,3,3.1,7,4,14,12,1
21,2,prediction,2,6.26,5,4,14,12,4
22,2,prediction,5,6.32,6,4,15,12,15
23,2,prediction,3,6.65,8,4,18,5,1
24,2,prediction,3,5.9,5,4,19,19,18
25,2,prediction,1,3.52,4,2,3,7,1
26,2,prediction,3,3.81,6,4,13,12,1
27,2,prediction,4,6.06,7,4,13,12,4
28,2,prediction,4,3.13,7,4,14,12,4
29,2,prediction,6,4.74,3,1,14,12,4
30,2,prediction,4,5.03,4,4,15,12,15
31,2,prediction,5,6,4,4,13,12,4
32,2,prediction,3,4.77,4,4,13,12,4
33,2,prediction,3,4.58,6,4,14,12,1
34,2,prediction,5,6.48,8,10,15,12,1
35,2,prediction,0,3.87,4,2,17,12,16
36,2,prediction,0,6.52,11,4,18,12,1
37,2,prediction,0,4.61,7,4,13,12,4
38,2,prediction,5,5.23,6,4,13,12,4
39,2,prediction,3,6.13,7,4,14,12,1
40,2,prediction,0,4.32,9,4,14,12,4
41,2,prediction,6,4,7,4,15,12,1
42,2,prediction,0,6.39,4,10,15,12,1
1,3,responsibility,,34.1,70,,50,50,
2,3,responsibility,,23,75,,50,50,
3,3,responsibility,,38.1,80,100,50,50,
4,3,responsibility,,29.8,70,100,50,50,
5,3,responsibility,,,50,,50,50,
6,3,responsibility,,50.6,75,,50,50,
7,3,responsibility,,57.4,90,100,50,50,
8,3,responsibility,,48.2,50,,50,50,
9,3,responsibility,,44,75,100,50,50,
10,3,responsibility,,52.2,80,100,50,50,
11,3,responsibility,,41.6,70,,50,50,
12,3,responsibility,,34.2,70,100,50,50,
13,3,responsibility,,40.2,80,,50,50,
14,3,responsibility,,58.4,100,100,50,50,
15,3,responsibility,,57.9,90,100,50,50,
16,3,responsibility,,49.5,100,100,50,50,
17,3,responsibility,,29.3,90,,50,50,
18,3,responsibility,,51.6,50,100,50,50,
19,3,responsibility,,63.3,70,100,50,50,
20,3,responsibility,,41.8,100,100,50,50,
21,3,responsibility,,61.8,80,100,50,50,
22,3,responsibility,,68.2,90,100,50,50,
23,3,responsibility,,53.3,75,100,50,50,
24,3,responsibility,,53,50,100,50,50,
25,3,responsibility,,72.9,100,100,50,50,
26,3,responsibility,,30.1,70,100,50,50,
27,3,responsibility,,64.6,85,100,50,50,
28,3,responsibility,,44.9,100,100,50,50,
29,3,responsibility,,49.4,90,100,50,50,
30,3,responsibility,,56.7,75,100,50,50,
31,3,responsibility,,70.7,100,100,50,50,
32,3,responsibility,,59.1,90,,50,50,
33,3,responsibility,,50.3,70,100,50,50,
34,3,responsibility,,48.3,70,100,50,50,
35,3,responsibility,,27.9,80,100,50,50,
36,3,responsibility,,53.9,80,100,50,50,
37,3,responsibility,,60.1,100,,50,50,
38,3,responsibility,,55.2,85,,50,50,
39,3,responsibility,,59.1,70,100,50,50,
40,3,responsibility,,53.3,70,,50,50,
41,3,responsibility,,35.7,50,100,50,50,
42,3,responsibility,,60.1,90,100,50,50,
