Image;Experiment;Condition;GT;GPT-4V;FUYU;ADAPTER;OTTER;CLAUDE-3
1;1;counting;7;7;4;10;12;6
2;1;counting;7;10;4;10;12;7
3;1;counting;8;10;4;10;12;7
4;1;counting;9;10;4;5;12;7
5;1;counting;12;13;8;10;12;12
6;1;counting;12;12;8;10;12;12
7;1;counting;6;7;4;10;12;7
8;1;counting;7;9;8;10;12;7
9;1;counting;9;12;4;10;12;8
10;1;counting;11;12;8;10;12;12
11;1;counting;11;13;8;10;12;10
12;1;counting;11;13;8;10;12;10
13;1;counting;11;13;12;10;12;10
14;1;counting;12;13;8;10;12;12
15;1;counting;12;13;8;10;12;11
16;1;counting;14;15;8;10;12;12
17;1;counting;15;18;12;10;12;14
18;1;counting;18;27;20;10;12;21
19;1;counting;8;9;4;10;12;6
20;1;counting;14;13;8;10;12;10
21;1;counting;15;17;12;10;12;14
22;1;counting;16;22;12;10;12;16
23;1;counting;18;16;12;10;12;18
24;1;counting;19;14;12;10;12;18
25;1;counting;8;10;4;10;12;7
26;1;counting;13;13;8;10;12;10
27;1;counting;13;13;8;10;12;14
28;1;counting;14;13;12;10;12;14
29;1;counting;14;15;8;10;12;12
30;1;counting;16;16;12;10;12;14
31;1;counting;13;13;8;10;12;12
32;1;counting;13;14;8;10;12;12
33;1;counting;14;20;12;10;12;14
34;1;counting;15;16;12;10;12;14
35;1;counting;17;17;8;10;12;25
36;1;counting;18;27;8;10;12;18
37;1;counting;13;14;8;10;12;12
38;1;counting;13;15;8;10;12;11
39;1;counting;14;17;12;10;12;13
40;1;counting;15;17;8;10;12;12
41;1;counting;15;13;8;10;12;14
42;1;counting;15;13;12;10;12;12
1;2;prediction;0;3;3;6;5;4
2;2;prediction;0;4;2;6;5;4
3;2;prediction;0;4;4;7;6;4
4;2;prediction;0;3;3;1;1;5
5;2;prediction;;3;3;12;12;6
6;2;prediction;0;7;4;12;12;6
7;2;prediction;0;3;2;1;5;4
8;2;prediction;1;4;4;6;5;5
9;2;prediction;1;4;4;1;9;6
10;2;prediction;1;3;4;10;9;7
11;2;prediction;2;7;4;11;9;7
12;2;prediction;0;4;1;11;9;6
13;2;prediction;0;5;4;10;9;6
14;2;prediction;2;3;4;12;12;6
15;2;prediction;2;3;4;12;12;6
16;2;prediction;2;5;4;14;12;6
17;2;prediction;0;5;1;15;12;7
18;2;prediction;2;4;12;18;12;12
19;2;prediction;2;4;4;3;7;4
20;2;prediction;3;7;4;14;12;6
21;2;prediction;2;5;4;14;12;6
22;2;prediction;5;6;4;15;12;10
23;2;prediction;3;8;4;18;5;12
24;2;prediction;3;5;4;19;19;8
25;2;prediction;1;4;2;3;7;4
26;2;prediction;3;6;4;13;12;7
27;2;prediction;4;7;4;13;12;7
28;2;prediction;4;7;4;14;12;6
29;2;prediction;6;3;1;14;12;7
30;2;prediction;4;4;4;15;12;10
31;2;prediction;5;4;4;13;12;8
32;2;prediction;3;4;4;13;12;7
33;2;prediction;3;6;4;14;12;6
34;2;prediction;5;8;10;15;12;7
35;2;prediction;0;4;2;17;12;8
36;2;prediction;0;11;4;18;12;8
37;2;prediction;0;7;4;13;12;6
38;2;prediction;5;6;4;13;12;6
39;2;prediction;3;7;4;14;12;9
40;2;prediction;0;9;4;14;12;6
41;2;prediction;6;7;4;15;12;6
42;2;prediction;0;4;10;15;12;8
1;3;responsibility;;70;;50;50;100
2;3;responsibility;;75;;50;50;100
3;3;responsibility;;80;100;50;50;100
4;3;responsibility;;70;100;50;50;100
5;3;responsibility;;50;;50;50;100
6;3;responsibility;;75;;50;50;100
7;3;responsibility;;90;100;50;50;100
8;3;responsibility;;50;;50;50;100
9;3;responsibility;;75;100;50;50;100
10;3;responsibility;;80;100;50;50;100
11;3;responsibility;;70;;50;50;100
12;3;responsibility;;70;100;50;50;100
13;3;responsibility;;80;;50;50;100
14;3;responsibility;;100;100;50;50;100
15;3;responsibility;;90;100;50;50;100
16;3;responsibility;;100;100;50;50;100
17;3;responsibility;;90;;50;50;100
18;3;responsibility;;50;100;50;50;100
19;3;responsibility;;70;100;50;50;100
20;3;responsibility;;100;100;50;50;100
21;3;responsibility;;80;100;50;50;100
22;3;responsibility;;90;100;50;50;100
23;3;responsibility;;75;100;50;50;100
24;3;responsibility;;50;100;50;50;100
25;3;responsibility;;100;100;50;50;100
26;3;responsibility;;70;100;50;50;100
27;3;responsibility;;85;100;50;50;100
28;3;responsibility;;100;100;50;50;100
29;3;responsibility;;90;100;50;50;100
30;3;responsibility;;75;100;50;50;100
31;3;responsibility;;100;100;50;50;100
32;3;responsibility;;90;;50;50;100
33;3;responsibility;;70;100;50;50;100
34;3;responsibility;;70;100;50;50;100
35;3;responsibility;;80;100;50;50;100
36;3;responsibility;;80;100;50;50;100
37;3;responsibility;;100;;50;50;100
38;3;responsibility;;85;;50;50;100
39;3;responsibility;;70;100;50;50;100
40;3;responsibility;;70;;50;50;100
41;3;responsibility;;50;100;50;50;100
42;3;responsibility;;90;100;50;50;100
