Image,Experiment,GT,GPT-4V,GPT-4V-B,FUYU,ADAPTER,OTTER,,,,,,,,,,,,,,,,,P3
1,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
3,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
5,1,White,Red,White,White,White,White,,,,,,,,,,,,,,,,,
7,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
18,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
20,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,White
22,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,White
38,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
40,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,White
42,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,White
44,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,White
62,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,White
63,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
64,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,White
65,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
67,1,White,Yellow,White,White,White,White,,,,,,,,,,,,,,,,,
85,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
87,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
89,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
91,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
105,1,White,Yellow,White,White,White,White,,,,,,,,,,,,,,,,,
111,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
121,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,White
125,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
126,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
131,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
132,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
146,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
147,1,White,Red,White,White,White,White,,,,,,,,,,,,,,,,,
152,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
166,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
167,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
172,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
173,1,White,Blue,White,White,White,White,,,,,,,,,,,,,,,,,
187,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
188,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
193,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
194,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
213,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
214,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,White
217,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
234,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,White
237,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
238,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
240,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
254,1,White,Blue,White,White,White,White,,,,,,,,,,,,,,,,,White
258,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
259,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
260,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
261,1,White,Green,White,White,White,White,,,,,,,,,,,,,,,,,
275,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,White
279,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
280,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
281,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
285,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
295,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,White
299,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,,
304,1,White,White,White,White,Blue,White,,,,,,,,,,,,,,,,,
