Image,Experiment,GT,GPT-4V,FUYU,ADAPTER,OTTER,CLAUDE-3,,,,,,,,,,,,,,,,P3
1,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,
3,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,
5,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,
7,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,
18,1,White,White,White,White,White,Gray,,,,,,,,,,,,,,,,
20,1,White,White,White,White,White,Beige,,,,,,,,,,,,,,,,White
22,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,White
38,1,White,White,White,White,White,Gray,,,,,,,,,,,,,,,,
40,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,White
42,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,White
44,1,White,White,White,White,White,Gray,,,,,,,,,,,,,,,,White
62,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,White
63,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,
64,1,White,White,White,White,White,Gray,,,,,,,,,,,,,,,,White
65,1,White,White,White,White,White,Beige,,,,,,,,,,,,,,,,
67,1,White,White,White,White,White,Gray,,,,,,,,,,,,,,,,
85,1,White,White,White,White,White,Gray,,,,,,,,,,,,,,,,
87,1,White,White,White,White,White,Gray,,,,,,,,,,,,,,,,
89,1,White,White,White,White,White,Gray,,,,,,,,,,,,,,,,
91,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,
105,1,White,White,White,White,White,Beige,,,,,,,,,,,,,,,,
111,1,White,White,White,White,White,Gray,,,,,,,,,,,,,,,,
121,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,White
125,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,
126,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,
131,1,White,White,White,White,White,Gray,,,,,,,,,,,,,,,,
132,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,
146,1,White,White,White,White,White,Gray,,,,,,,,,,,,,,,,
147,1,White,White,White,White,White,Gray,,,,,,,,,,,,,,,,
152,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,
166,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,
167,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,
172,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,
173,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,
187,1,White,White,White,White,White,Beige,,,,,,,,,,,,,,,,
188,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,
193,1,White,White,White,White,White,Gray,,,,,,,,,,,,,,,,
194,1,White,White,White,White,White,Gray,,,,,,,,,,,,,,,,
213,1,White,White,White,White,White,Gray,,,,,,,,,,,,,,,,
214,1,White,White,White,White,White,Beige,,,,,,,,,,,,,,,,White
217,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,
234,1,White,White,White,White,White,Gray,,,,,,,,,,,,,,,,White
237,1,White,White,White,White,White,Gray,,,,,,,,,,,,,,,,
238,1,White,White,White,White,White,Gray,,,,,,,,,,,,,,,,
240,1,White,White,White,White,White,Gray,,,,,,,,,,,,,,,,
254,1,White,White,White,White,White,Gray,,,,,,,,,,,,,,,,White
258,1,White,White,White,White,White,Gray,,,,,,,,,,,,,,,,
259,1,White,White,White,White,White,Gray,,,,,,,,,,,,,,,,
260,1,White,White,White,White,White,Gray,,,,,,,,,,,,,,,,
261,1,White,White,White,White,White,Gray,,,,,,,,,,,,,,,,
275,1,White,White,White,White,White,Gray,,,,,,,,,,,,,,,,White
279,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,
280,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,
281,1,White,White,White,White,White,Gray,,,,,,,,,,,,,,,,
285,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,
295,1,White,White,White,White,White,Gray,,,,,,,,,,,,,,,,White
299,1,White,White,White,White,White,White,,,,,,,,,,,,,,,,
304,1,White,White,White,Blue,White,White,,,,,,,,,,,,,,,,
