Experiment,Image,Question,GT,GPT4V1Q,FUYU,ADAPTER,OTTER
a,0,1,pink,purple,,purple,purple
a,0,2,1,,2,3,2
a,1,1,pink,purple,purple,blue,purple
a,1,2,1,,2,3,2
a,2,1,pink,purple,purple,purple,purple
a,2,2,2,,2,3,2
a,3,1,pink,purple,purple,blue,purple
a,3,2,2,,2,3,2
a,4,1,pink,purple,purple,purple,purple
a,4,2,2,,2,3,2
a,5,1,pink,purple,purple,purple,purple
a,5,2,2,,2,3,2
a,6,1,yellow,purple,purple,blue,purple
a,6,2,1,,2,3,2
a,7,1,yellow,purple,purple,blue,purple
a,7,2,1,,2,3,2
a,8,1,yellow,purple,purple,purple,purple
a,8,2,1,,2,3,2
a,9,1,yellow,purple,,purple,orange
a,9,2,1,,2,3,2
a,10,1,yellow,purple,,purple,purple
a,10,2,1,,2,3,2
a,11,1,yellow,purple,purple,blue,orange
a,11,2,2,,2,3,2
a,12,1,yellow,purple,,blue,orange
a,12,2,2,,2,3,2
a,13,1,yellow,purple,purple,purple,purple
a,13,2,2,,2,3,2
a,14,1,yellow,purple,purple,blue,orange
a,14,2,2,,2,3,2
a,15,1,yellow,purple,purple,purple,purple
a,15,2,2,,2,3,2
b,1,1,,pink,pink,blue,purple
b,1,2,,,2,,
b,2,1,,purple,pink,blue,purple
b,2,2,,,2,,
b,3,1,,purple,pink,blue,orange
b,3,2,,,2,,
b,4,1,,pink,pink,blue,purple
b,4,2,,,2,,
b,5,1,,purple,pink,blue,purple
b,5,2,,,2,,
b,6,1,,pink,pink,blue,purple
b,6,2,,,2,,
b,7,1,,purple,pink,blue,purple
b,7,2,,,2,,
b,8,1,,purple,pink,blue,purple
b,8,2,,,2,,
b,9,1,,pink,pink,blue,purple
b,9,2,,,2,,
b,10,1,,purple,pink,blue,purple
b,10,2,,,2,,
b,11,1,,pink,pink,blue,purple
b,11,2,,,2,,
b,12,1,,purple,pink,blue,orange
b,12,2,,,2,,
b,13,1,,purple,pink,blue,purple
b,13,2,,,2,,
b,14,1,,pink,pink,blue,purple
b,14,2,,,2,,
b,15,1,,purple,pink,blue,purple
b,15,2,,,2,,
b,16,1,,pink,pink,blue,purple
b,16,2,,,2,,
b,17,1,,purple,pink,blue,purple
b,17,2,,,2,,
c,1,1,,pink,purple,purple,purple
c,1,2,,,1,,
c,2,1,,purple,purple,purple,purple
c,2,2,,,1,,
c,3,1,,purple,purple,blue,purple
c,3,2,,,1,,
c,4,1,,purple,purple,blue,purple
c,4,2,,,1,,
c,5,1,,purple,purple,blue,purple
c,5,2,,,1,,
c,6,1,,purple,purple,purple,purple
c,6,2,,,1,,
c,7,1,,purple,purple,blue,purple
c,7,2,,,1,,
c,8,1,,purple,purple,blue,purple
c,8,2,,,1,,
c,9,1,,purple,purple,blue,purple
c,9,2,,,1,,
c,10,1,,purple,purple,purple,purple
c,10,2,,,1,,
c,11,1,,purple,purple,blue,purple
c,11,2,,,1,,
c,12,1,,purple,purple,blue,purple
c,12,2,,,1,,
c,13,1,,purple,purple,blue,purple
c,13,2,,,1,,
c,14,1,,purple,purple,blue,purple
c,14,2,,,1,,
