,Model,Human,Ind
0,9.0,1.0,0.0
1,101.0,1.0,0.0
2,61.0,1.0,0.0
3,83.0,0.0,0.0
4,30.0,1.0,0.0
5,4.0,0.0,0.0
6,53.0,1.0,0.0
7,80.0,1.0,0.0
8,45.0,1.0,0.0
9,75.0,1.0,0.0
10,67.0,1.0,0.0
11,27.0,0.0,0.0
12,101.0,1.0,0.0
13,4.0,0.0,0.0
14,72.0,1.0,0.0
15,99.0,1.0,0.0
16,100.0,1.0,0.0
17,9.0,0.0,0.0
18,19.0,0.0,0.0
19,60.0,1.0,0.0
20,21.0,0.0,0.0
21,76.0,1.0,0.0
22,68.0,1.0,0.0
23,67.0,1.0,0.0
24,32.0,1.0,0.0
25,27.0,0.0,0.0
26,60.0,1.0,0.0
27,66.0,1.0,0.0
28,70.0,1.0,0.0
29,20.0,1.0,0.0
30,26.0,0.0,0.0
31,36.0,0.0,0.0
32,69.0,1.0,0.0
33,100.0,1.0,0.0
34,41.0,1.0,0.0
35,8.0,0.0,0.0
36,106.0,1.0,0.0
37,103.0,1.0,0.0
38,73.0,1.0,0.0
39,48.0,1.0,0.0
40,28.0,0.0,0.0
41,18.0,0.0,0.0
42,12.0,1.0,0.0
43,87.0,1.0,0.0
44,8.0,1.0,0.0
45,88.0,1.0,0.0
46,37.0,0.0,0.0
47,53.0,0.0,0.0
48,45.0,0.0,0.0
49,81.0,1.0,0.0
50,12.0,0.0,0.0
51,5.0,1.0,0.0
52,51.0,1.0,0.0
53,54.0,1.0,0.0
54,79.0,1.0,0.0
55,3.0,0.0,0.0
56,97.0,1.0,0.0
57,54.0,0.0,0.0
58,11.0,0.0,0.0
59,87.0,1.0,0.0
60,17.0,0.0,0.0
61,77.0,1.0,0.0
62,56.0,1.0,0.0
63,11.0,0.0,0.0
64,74.0,1.0,0.0
65,49.0,1.0,0.0
66,13.0,0.0,0.0
67,60.0,1.0,0.0
68,68.0,1.0,0.0
69,26.0,0.0,0.0
70,31.0,0.0,0.0
71,35.0,1.0,0.0
72,52.0,1.0,0.0
73,75.0,1.0,0.0
74,71.0,1.0,0.0
75,87.0,1.0,0.0
76,63.0,1.0,0.0
77,3.0,0.0,0.0
78,30.0,0.0,0.0
79,92.0,1.0,0.0
80,57.0,0.0,0.0
81,96.0,1.0,0.0
82,93.0,1.0,0.0
83,47.0,1.0,0.0
84,97.0,1.0,0.0
85,94.0,0.0,0.0
86,51.0,1.0,0.0
87,84.0,0.0,0.0
88,74.0,0.0,0.0
89,92.0,1.0,0.0
90,68.0,1.0,0.0
91,19.0,0.0,0.0
