,Model,Human,Ind
0,,46.0,1.0
1,,32.0,1.0
2,100.0,49.0,1.0
3,100.0,25.0,1.0
4,,,1.0
5,,49.0,1.0
6,100.0,58.0,1.0
7,,20.0,1.0
8,100.0,47.0,1.0
9,100.0,60.0,1.0
10,,36.0,1.0
11,100.0,45.0,1.0
12,,26.0,1.0
13,100.0,34.0,1.0
14,100.0,71.0,1.0
15,100.0,49.0,1.0
16,,25.0,1.0
17,100.0,22.0,1.0
18,100.0,33.0,1.0
19,100.0,47.0,1.0
20,100.0,80.0,1.0
21,100.0,82.0,1.0
22,100.0,52.0,1.0
23,100.0,78.0,1.0
24,100.0,76.0,1.0
25,100.0,28.0,1.0
26,100.0,51.0,1.0
27,100.0,45.0,1.0
28,100.0,64.0,1.0
29,100.0,50.0,1.0
30,100.0,64.0,1.0
31,,77.0,1.0
32,100.0,29.0,1.0
33,100.0,69.0,1.0
34,100.0,51.0,1.0
35,100.0,81.0,1.0
36,,81.0,1.0
37,,76.0,1.0
38,100.0,83.0,1.0
39,,92.0,1.0
40,100.0,54.0,1.0
41,100.0,73.0,1.0
42,,50.0,4.0
43,,56.0,4.0
44,100.0,58.0,4.0
45,100.0,20.0,4.0
46,,,4.0
47,,42.0,4.0
48,100.0,63.0,4.0
49,,33.0,4.0
50,100.0,50.0,4.0
51,100.0,66.0,4.0
52,,33.0,4.0
53,100.0,5.0,4.0
54,,34.0,4.0
55,100.0,65.0,4.0
56,100.0,61.0,4.0
57,100.0,37.0,4.0
58,,15.0,4.0
59,100.0,58.0,4.0
60,100.0,64.0,4.0
61,100.0,51.0,4.0
62,100.0,71.0,4.0
63,100.0,73.0,4.0
64,100.0,69.0,4.0
65,100.0,62.0,4.0
66,100.0,67.0,4.0
67,100.0,34.0,4.0
68,100.0,46.0,4.0
69,100.0,51.0,4.0
70,100.0,65.0,4.0
71,100.0,35.0,4.0
72,100.0,86.0,4.0
73,,50.0,4.0
74,100.0,57.0,4.0
75,100.0,66.0,4.0
76,100.0,19.0,4.0
77,100.0,83.0,4.0
78,,63.0,4.0
79,,44.0,4.0
80,100.0,47.0,4.0
81,,52.0,4.0
82,100.0,3.0,4.0
83,100.0,88.0,4.0
84,,30.0,5.0
85,,12.0,5.0
86,100.0,50.0,5.0
87,100.0,41.0,5.0
88,,,5.0
89,,51.0,5.0
90,100.0,42.0,5.0
91,,13.0,5.0
92,100.0,19.0,5.0
93,100.0,62.0,5.0
94,,26.0,5.0
95,100.0,23.0,5.0
96,,34.0,5.0
97,100.0,24.0,5.0
98,100.0,58.0,5.0
99,100.0,55.0,5.0
100,,17.0,5.0
101,100.0,28.0,5.0
102,100.0,62.0,5.0
103,100.0,42.0,5.0
104,100.0,57.0,5.0
105,100.0,45.0,5.0
106,100.0,61.0,5.0
107,100.0,17.0,5.0
108,100.0,81.0,5.0
109,100.0,28.0,5.0
110,100.0,22.0,5.0
111,100.0,30.0,5.0
112,100.0,51.0,5.0
113,100.0,45.0,5.0
114,100.0,63.0,5.0
115,,47.0,5.0
116,100.0,55.0,5.0
117,100.0,26.0,5.0
118,100.0,17.0,5.0
119,100.0,60.0,5.0
120,,76.0,5.0
121,,52.0,5.0
122,100.0,50.0,5.0
123,,35.0,5.0
124,100.0,38.0,5.0
125,100.0,66.0,5.0
126,,64.0,9.0
127,,22.0,9.0
128,100.0,27.0,9.0
129,100.0,35.0,9.0
130,,,9.0
131,,49.0,9.0
132,100.0,57.0,9.0
133,,76.0,9.0
134,100.0,59.0,9.0
135,100.0,51.0,9.0
136,,47.0,9.0
137,100.0,34.0,9.0
138,,54.0,9.0
139,100.0,98.0,9.0
140,100.0,64.0,9.0
141,100.0,39.0,9.0
142,,0.0,9.0
143,100.0,90.0,9.0
144,100.0,61.0,9.0
145,100.0,33.0,9.0
146,100.0,100.0,9.0
147,100.0,100.0,9.0
148,100.0,79.0,9.0
149,100.0,45.0,9.0
150,100.0,87.0,9.0
151,100.0,38.0,9.0
152,100.0,73.0,9.0
153,100.0,48.0,9.0
154,100.0,39.0,9.0
155,100.0,50.0,9.0
156,100.0,71.0,9.0
157,,85.0,9.0
158,100.0,62.0,9.0
159,100.0,53.0,9.0
160,100.0,27.0,9.0
161,100.0,51.0,9.0
162,,46.0,9.0
163,,46.0,9.0
164,100.0,52.0,9.0
165,,32.0,9.0
166,100.0,50.0,9.0
167,100.0,53.0,9.0
168,,9.0,12.0
169,,20.0,12.0
170,100.0,23.0,12.0
171,100.0,7.0,12.0
172,,,12.0
173,,62.0,12.0
174,100.0,47.0,12.0
175,,55.0,12.0
176,100.0,29.0,12.0
177,100.0,55.0,12.0
178,,27.0,12.0
179,100.0,22.0,12.0
180,,42.0,12.0
181,100.0,62.0,12.0
182,100.0,55.0,12.0
183,100.0,59.0,12.0
184,,26.0,12.0
185,100.0,66.0,12.0
186,100.0,65.0,12.0
187,100.0,35.0,12.0
188,100.0,63.0,12.0
189,100.0,64.0,12.0
190,100.0,36.0,12.0
191,100.0,61.0,12.0
