,Model,Human,Ind
0,70.0,46.0,1.0
1,75.0,32.0,1.0
2,80.0,49.0,1.0
3,70.0,25.0,1.0
4,50.0,,1.0
5,75.0,49.0,1.0
6,90.0,58.0,1.0
7,50.0,20.0,1.0
8,75.0,47.0,1.0
9,80.0,60.0,1.0
10,70.0,36.0,1.0
11,70.0,45.0,1.0
12,80.0,26.0,1.0
13,100.0,34.0,1.0
14,90.0,71.0,1.0
15,100.0,49.0,1.0
16,90.0,25.0,1.0
17,50.0,22.0,1.0
18,70.0,33.0,1.0
19,100.0,47.0,1.0
20,80.0,80.0,1.0
21,90.0,82.0,1.0
22,75.0,52.0,1.0
23,50.0,78.0,1.0
24,100.0,76.0,1.0
25,70.0,28.0,1.0
26,85.0,51.0,1.0
27,100.0,45.0,1.0
28,90.0,64.0,1.0
29,75.0,50.0,1.0
30,100.0,64.0,1.0
31,90.0,77.0,1.0
32,70.0,29.0,1.0
33,70.0,69.0,1.0
34,80.0,51.0,1.0
35,80.0,81.0,1.0
36,100.0,81.0,1.0
37,85.0,76.0,1.0
38,70.0,83.0,1.0
39,70.0,92.0,1.0
40,50.0,54.0,1.0
41,90.0,73.0,1.0
42,70.0,50.0,4.0
43,75.0,56.0,4.0
44,80.0,58.0,4.0
45,70.0,20.0,4.0
46,50.0,,4.0
47,75.0,42.0,4.0
48,90.0,63.0,4.0
49,50.0,33.0,4.0
50,75.0,50.0,4.0
51,80.0,66.0,4.0
52,70.0,33.0,4.0
53,70.0,5.0,4.0
54,80.0,34.0,4.0
55,100.0,65.0,4.0
56,90.0,61.0,4.0
57,100.0,37.0,4.0
58,90.0,15.0,4.0
59,50.0,58.0,4.0
60,70.0,64.0,4.0
61,100.0,51.0,4.0
62,80.0,71.0,4.0
63,90.0,73.0,4.0
64,75.0,69.0,4.0
65,50.0,62.0,4.0
66,100.0,67.0,4.0
67,70.0,34.0,4.0
68,85.0,46.0,4.0
69,100.0,51.0,4.0
70,90.0,65.0,4.0
71,75.0,35.0,4.0
72,100.0,86.0,4.0
73,90.0,50.0,4.0
74,70.0,57.0,4.0
75,70.0,66.0,4.0
76,80.0,19.0,4.0
77,80.0,83.0,4.0
78,100.0,63.0,4.0
79,85.0,44.0,4.0
80,70.0,47.0,4.0
81,70.0,52.0,4.0
82,50.0,3.0,4.0
83,90.0,88.0,4.0
84,70.0,30.0,5.0
85,75.0,12.0,5.0
86,80.0,50.0,5.0
87,70.0,41.0,5.0
88,50.0,,5.0
89,75.0,51.0,5.0
90,90.0,42.0,5.0
91,50.0,13.0,5.0
92,75.0,19.0,5.0
93,80.0,62.0,5.0
94,70.0,26.0,5.0
95,70.0,23.0,5.0
96,80.0,34.0,5.0
97,100.0,24.0,5.0
98,90.0,58.0,5.0
99,100.0,55.0,5.0
100,90.0,17.0,5.0
101,50.0,28.0,5.0
102,70.0,62.0,5.0
103,100.0,42.0,5.0
104,80.0,57.0,5.0
105,90.0,45.0,5.0
106,75.0,61.0,5.0
107,50.0,17.0,5.0
108,100.0,81.0,5.0
109,70.0,28.0,5.0
110,85.0,22.0,5.0
111,100.0,30.0,5.0
112,90.0,51.0,5.0
113,75.0,45.0,5.0
114,100.0,63.0,5.0
115,90.0,47.0,5.0
116,70.0,55.0,5.0
117,70.0,26.0,5.0
118,80.0,17.0,5.0
119,80.0,60.0,5.0
120,100.0,76.0,5.0
121,85.0,52.0,5.0
122,70.0,50.0,5.0
123,70.0,35.0,5.0
124,50.0,38.0,5.0
125,90.0,66.0,5.0
126,70.0,64.0,9.0
127,75.0,22.0,9.0
128,80.0,27.0,9.0
129,70.0,35.0,9.0
130,50.0,,9.0
131,75.0,49.0,9.0
132,90.0,57.0,9.0
133,50.0,76.0,9.0
134,75.0,59.0,9.0
135,80.0,51.0,9.0
136,70.0,47.0,9.0
137,70.0,34.0,9.0
138,80.0,54.0,9.0
139,100.0,98.0,9.0
140,90.0,64.0,9.0
141,100.0,39.0,9.0
142,90.0,0.0,9.0
143,50.0,90.0,9.0
144,70.0,61.0,9.0
145,100.0,33.0,9.0
146,80.0,100.0,9.0
147,90.0,100.0,9.0
148,75.0,79.0,9.0
149,50.0,45.0,9.0
150,100.0,87.0,9.0
151,70.0,38.0,9.0
152,85.0,73.0,9.0
153,100.0,48.0,9.0
154,90.0,39.0,9.0
155,75.0,50.0,9.0
156,100.0,71.0,9.0
157,90.0,85.0,9.0
158,70.0,62.0,9.0
