,Model,Human,Ind
0,34.08571428571429,46.0,1.0
1,23.0,32.0,1.0
2,38.142857142857146,49.0,1.0
3,29.771428571428572,25.0,1.0
4,,,1.0
5,50.6,49.0,1.0
6,57.371428571428574,58.0,1.0
7,48.2,20.0,1.0
8,43.97142857142857,47.0,1.0
9,52.2,60.0,1.0
10,41.57142857142857,36.0,1.0
11,34.22857142857143,45.0,1.0
12,40.2,26.0,1.0
13,58.4,34.0,1.0
14,57.94285714285714,71.0,1.0
15,49.48571428571429,49.0,1.0
16,29.34285714285714,25.0,1.0
17,51.57142857142857,22.0,1.0
18,63.34285714285714,33.0,1.0
19,41.82857142857143,47.0,1.0
20,61.77142857142857,80.0,1.0
21,68.17142857142858,82.0,1.0
22,53.25714285714286,52.0,1.0
23,53.02857142857143,78.0,1.0
24,72.91428571428571,76.0,1.0
25,30.085714285714285,28.0,1.0
26,64.62857142857143,51.0,1.0
27,44.885714285714286,45.0,1.0
28,49.42857142857143,64.0,1.0
29,56.65714285714286,50.0,1.0
30,70.65714285714286,64.0,1.0
31,59.114285714285714,77.0,1.0
32,50.31428571428572,29.0,1.0
33,48.25714285714286,69.0,1.0
34,27.885714285714286,51.0,1.0
35,53.885714285714286,81.0,1.0
36,60.05714285714286,81.0,1.0
37,55.22857142857143,76.0,1.0
38,59.08571428571429,83.0,1.0
39,53.25714285714286,92.0,1.0
40,35.74285714285714,54.0,1.0
41,60.142857142857146,73.0,1.0
42,34.08571428571429,50.0,4.0
43,23.0,56.0,4.0
44,38.142857142857146,58.0,4.0
45,29.771428571428572,20.0,4.0
46,,,4.0
47,50.6,42.0,4.0
48,57.371428571428574,63.0,4.0
49,48.2,33.0,4.0
50,43.97142857142857,50.0,4.0
51,52.2,66.0,4.0
52,41.57142857142857,33.0,4.0
53,34.22857142857143,5.0,4.0
54,40.2,34.0,4.0
55,58.4,65.0,4.0
56,57.94285714285714,61.0,4.0
57,49.48571428571429,37.0,4.0
58,29.34285714285714,15.0,4.0
59,51.57142857142857,58.0,4.0
60,63.34285714285714,64.0,4.0
61,41.82857142857143,51.0,4.0
62,61.77142857142857,71.0,4.0
63,68.17142857142858,73.0,4.0
64,53.25714285714286,69.0,4.0
65,53.02857142857143,62.0,4.0
66,72.91428571428571,67.0,4.0
67,30.085714285714285,34.0,4.0
68,64.62857142857143,46.0,4.0
69,44.885714285714286,51.0,4.0
70,49.42857142857143,65.0,4.0
71,56.65714285714286,35.0,4.0
72,70.65714285714286,86.0,4.0
73,59.114285714285714,50.0,4.0
74,50.31428571428572,57.0,4.0
75,48.25714285714286,66.0,4.0
76,27.885714285714286,19.0,4.0
77,53.885714285714286,83.0,4.0
78,60.05714285714286,63.0,4.0
79,55.22857142857143,44.0,4.0
80,59.08571428571429,47.0,4.0
81,53.25714285714286,52.0,4.0
82,35.74285714285714,3.0,4.0
83,60.142857142857146,88.0,4.0
84,34.08571428571429,30.0,5.0
85,23.0,12.0,5.0
86,38.142857142857146,50.0,5.0
87,29.771428571428572,41.0,5.0
88,,,5.0
89,50.6,51.0,5.0
90,57.371428571428574,42.0,5.0
91,48.2,13.0,5.0
92,43.97142857142857,19.0,5.0
93,52.2,62.0,5.0
94,41.57142857142857,26.0,5.0
95,34.22857142857143,23.0,5.0
96,40.2,34.0,5.0
97,58.4,24.0,5.0
98,57.94285714285714,58.0,5.0
99,49.48571428571429,55.0,5.0
100,29.34285714285714,17.0,5.0
101,51.57142857142857,28.0,5.0
102,63.34285714285714,62.0,5.0
103,41.82857142857143,42.0,5.0
104,61.77142857142857,57.0,5.0
105,68.17142857142858,45.0,5.0
106,53.25714285714286,61.0,5.0
107,53.02857142857143,17.0,5.0
108,72.91428571428571,81.0,5.0
109,30.085714285714285,28.0,5.0
110,64.62857142857143,22.0,5.0
111,44.885714285714286,30.0,5.0
112,49.42857142857143,51.0,5.0
113,56.65714285714286,45.0,5.0
114,70.65714285714286,63.0,5.0
115,59.114285714285714,47.0,5.0
116,50.31428571428572,55.0,5.0
117,48.25714285714286,26.0,5.0
118,27.885714285714286,17.0,5.0
119,53.885714285714286,60.0,5.0
120,60.05714285714286,76.0,5.0
121,55.22857142857143,52.0,5.0
122,59.08571428571429,50.0,5.0
123,53.25714285714286,35.0,5.0
124,35.74285714285714,38.0,5.0
125,60.142857142857146,66.0,5.0
126,34.08571428571429,64.0,9.0
127,23.0,22.0,9.0
128,38.142857142857146,27.0,9.0
129,29.771428571428572,35.0,9.0
130,,,9.0
131,50.6,49.0,9.0
132,57.371428571428574,57.0,9.0
133,48.2,76.0,9.0
134,43.97142857142857,59.0,9.0
135,52.2,51.0,9.0
136,41.57142857142857,47.0,9.0
137,34.22857142857143,34.0,9.0
138,40.2,54.0,9.0
139,58.4,98.0,9.0
140,57.94285714285714,64.0,9.0
141,49.48571428571429,39.0,9.0
142,29.34285714285714,0.0,9.0
143,51.57142857142857,90.0,9.0
144,63.34285714285714,61.0,9.0
145,41.82857142857143,33.0,9.0
146,61.77142857142857,100.0,9.0
147,68.17142857142858,100.0,9.0
148,53.25714285714286,79.0,9.0
149,53.02857142857143,45.0,9.0
150,72.91428571428571,87.0,9.0
151,30.085714285714285,38.0,9.0
152,64.62857142857143,73.0,9.0
153,44.885714285714286,48.0,9.0
154,49.42857142857143,39.0,9.0
155,56.65714285714286,50.0,9.0
156,70.65714285714286,71.0,9.0
157,59.114285714285714,85.0,9.0
158,50.31428571428572,62.0,9.0
159,48.25714285714286,53.0,9.0
160,27.885714285714286,27.0,9.0
161,53.885714285714286,51.0,9.0
162,60.05714285714286,46.0,9.0
163,55.22857142857143,46.0,9.0
164,59.08571428571429,52.0,9.0
165,53.25714285714286,32.0,9.0
166,35.74285714285714,50.0,9.0
167,60.142857142857146,53.0,9.0
168,34.08571428571429,9.0,12.0
169,23.0,20.0,12.0
170,38.142857142857146,23.0,12.0
171,29.771428571428572,7.0,12.0
172,,,12.0
173,50.6,62.0,12.0
174,57.371428571428574,47.0,12.0
175,48.2,55.0,12.0
176,43.97142857142857,29.0,12.0
177,52.2,55.0,12.0
178,41.57142857142857,27.0,12.0
179,34.22857142857143,22.0,12.0
180,40.2,42.0,12.0
181,58.4,62.0,12.0
182,57.94285714285714,55.0,12.0
183,49.48571428571429,59.0,12.0
184,29.34285714285714,26.0,12.0
185,51.57142857142857,66.0,12.0
186,63.34285714285714,65.0,12.0
187,41.82857142857143,35.0,12.0
188,61.77142857142857,63.0,12.0
189,68.17142857142858,64.0,12.0
190,53.25714285714286,36.0,12.0
191,53.02857142857143,61.0,12.0
192,72.91428571428571,52.0,12.0
193,30.085714285714285,28.0,12.0
194,64.62857142857143,52.0,12.0
195,44.885714285714286,23.0,12.0
196,49.42857142857143,42.0,12.0
197,56.65714285714286,17.0,12.0
198,70.65714285714286,65.0,12.0
199,59.114285714285714,50.0,12.0
200,50.31428571428572,56.0,12.0
201,48.25714285714286,58.0,12.0
202,27.885714285714286,42.0,12.0
203,53.885714285714286,35.0,12.0
204,60.05714285714286,57.0,12.0
205,55.22857142857143,30.0,12.0
206,59.08571428571429,56.0,12.0
207,53.25714285714286,55.0,12.0
208,35.74285714285714,31.0,12.0
209,60.142857142857146,72.0,12.0
210,34.08571428571429,11.0,14.0
211,23.0,0.0,14.0
212,38.142857142857146,53.0,14.0
213,29.771428571428572,10.0,14.0
214,,,14.0
215,50.6,54.0,14.0
216,57.371428571428574,30.0,14.0
217,48.2,73.0,14.0
218,43.97142857142857,22.0,14.0
219,52.2,45.0,14.0
220,41.57142857142857,39.0,14.0
221,34.22857142857143,23.0,14.0
222,40.2,36.0,14.0
223,58.4,61.0,14.0
224,57.94285714285714,41.0,14.0
225,49.48571428571429,31.0,14.0
226,29.34285714285714,21.0,14.0
227,51.57142857142857,86.0,14.0
228,63.34285714285714,69.0,14.0
229,41.82857142857143,18.0,14.0
230,61.77142857142857,41.0,14.0
231,68.17142857142858,69.0,14.0
232,53.25714285714286,15.0,14.0
233,53.02857142857143,52.0,14.0
234,72.91428571428571,49.0,14.0
235,30.085714285714285,23.0,14.0
236,64.62857142857143,51.0,14.0
237,44.885714285714286,29.0,14.0
238,49.42857142857143,31.0,14.0
239,56.65714285714286,34.0,14.0
240,70.65714285714286,41.0,14.0
241,59.114285714285714,66.0,14.0
242,50.31428571428572,36.0,14.0
243,48.25714285714286,30.0,14.0
244,27.885714285714286,0.0,14.0
245,53.885714285714286,42.0,14.0
246,60.05714285714286,48.0,14.0
247,55.22857142857143,39.0,14.0
248,59.08571428571429,53.0,14.0
249,53.25714285714286,25.0,14.0
250,35.74285714285714,23.0,14.0
251,60.142857142857146,21.0,14.0
252,34.08571428571429,28.0,15.0
253,23.0,6.0,15.0
254,38.142857142857146,12.0,15.0
255,29.771428571428572,3.0,15.0
256,,,15.0
257,50.6,12.0,15.0
258,57.371428571428574,10.0,15.0
259,48.2,76.0,15.0
260,43.97142857142857,81.0,15.0
261,52.2,21.0,15.0
262,41.57142857142857,13.0,15.0
263,34.22857142857143,9.0,15.0
264,40.2,33.0,15.0
265,58.4,83.0,15.0
266,57.94285714285714,86.0,15.0
267,49.48571428571429,5.0,15.0
268,29.34285714285714,61.0,15.0
269,51.57142857142857,76.0,15.0
270,63.34285714285714,83.0,15.0
271,41.82857142857143,11.0,15.0
272,61.77142857142857,84.0,15.0
273,68.17142857142858,88.0,15.0
274,53.25714285714286,85.0,15.0
275,53.02857142857143,81.0,15.0
276,72.91428571428571,79.0,15.0
277,30.085714285714285,26.0,15.0
278,64.62857142857143,80.0,15.0
279,44.885714285714286,56.0,15.0
280,49.42857142857143,9.0,15.0
281,56.65714285714286,92.0,15.0
282,70.65714285714286,86.0,15.0
283,59.114285714285714,84.0,15.0
284,50.31428571428572,78.0,15.0
285,48.25714285714286,58.0,15.0
286,27.885714285714286,15.0,15.0
287,53.885714285714286,66.0,15.0
288,60.05714285714286,85.0,15.0
289,55.22857142857143,72.0,15.0
290,59.08571428571429,91.0,15.0
291,53.25714285714286,60.0,15.0
292,35.74285714285714,24.0,15.0
293,60.142857142857146,17.0,15.0
294,34.08571428571429,52.0,16.0
295,23.0,17.0,16.0
296,38.142857142857146,77.0,16.0
297,29.771428571428572,52.0,16.0
298,,,16.0
299,50.6,83.0,16.0
300,57.371428571428574,79.0,16.0
301,48.2,50.0,16.0
302,43.97142857142857,45.0,16.0
303,52.2,83.0,16.0
304,41.57142857142857,62.0,16.0
305,34.22857142857143,51.0,16.0
306,40.2,49.0,16.0
307,58.4,65.0,16.0
308,57.94285714285714,68.0,16.0
309,49.48571428571429,54.0,16.0
310,29.34285714285714,30.0,16.0
311,51.57142857142857,84.0,16.0
312,63.34285714285714,83.0,16.0
313,41.82857142857143,53.0,16.0
314,61.77142857142857,90.0,16.0
315,68.17142857142858,82.0,16.0
316,53.25714285714286,62.0,16.0
317,53.02857142857143,61.0,16.0
318,72.91428571428571,61.0,16.0
319,30.085714285714285,29.0,16.0
320,64.62857142857143,57.0,16.0
321,44.885714285714286,45.0,16.0
322,49.42857142857143,1.0,16.0
323,56.65714285714286,83.0,16.0
324,70.65714285714286,77.0,16.0
325,59.114285714285714,72.0,16.0
326,50.31428571428572,33.0,16.0
327,48.25714285714286,33.0,16.0
328,27.885714285714286,56.0,16.0
329,53.885714285714286,24.0,16.0
330,60.05714285714286,38.0,16.0
331,55.22857142857143,39.0,16.0
332,59.08571428571429,49.0,16.0
333,53.25714285714286,88.0,16.0
334,35.74285714285714,62.0,16.0
335,60.142857142857146,69.0,16.0
336,34.08571428571429,51.0,21.0
337,23.0,49.0,21.0
338,38.142857142857146,89.0,21.0
339,29.771428571428572,28.0,21.0
340,,,21.0
341,50.6,41.0,21.0
342,57.371428571428574,100.0,21.0
343,48.2,40.0,21.0
344,43.97142857142857,13.0,21.0
345,52.2,48.0,21.0
346,41.57142857142857,29.0,21.0
347,34.22857142857143,25.0,21.0
348,40.2,33.0,21.0
349,58.4,74.0,21.0
350,57.94285714285714,100.0,21.0
351,49.48571428571429,32.0,21.0
352,29.34285714285714,69.0,21.0
353,51.57142857142857,5.0,21.0
354,63.34285714285714,21.0,21.0
355,41.82857142857143,42.0,21.0
356,61.77142857142857,33.0,21.0
357,68.17142857142858,100.0,21.0
358,53.25714285714286,11.0,21.0
359,53.02857142857143,79.0,21.0
360,72.91428571428571,89.0,21.0
361,30.085714285714285,15.0,21.0
362,64.62857142857143,42.0,21.0
363,44.885714285714286,36.0,21.0
