,Model,Human,Ind
0,50.0,46.0,1.0
1,50.0,32.0,1.0
2,50.0,49.0,1.0
3,50.0,25.0,1.0
4,50.0,,1.0
5,50.0,49.0,1.0
6,50.0,58.0,1.0
7,50.0,20.0,1.0
8,50.0,47.0,1.0
9,50.0,60.0,1.0
10,50.0,36.0,1.0
11,50.0,45.0,1.0
12,50.0,26.0,1.0
13,50.0,34.0,1.0
14,50.0,71.0,1.0
15,50.0,49.0,1.0
16,50.0,25.0,1.0
17,50.0,22.0,1.0
18,50.0,33.0,1.0
19,50.0,47.0,1.0
20,50.0,80.0,1.0
21,50.0,82.0,1.0
22,50.0,52.0,1.0
23,50.0,78.0,1.0
24,50.0,76.0,1.0
25,50.0,28.0,1.0
26,50.0,51.0,1.0
27,50.0,45.0,1.0
28,50.0,64.0,1.0
29,50.0,50.0,1.0
30,50.0,64.0,1.0
31,50.0,77.0,1.0
32,50.0,29.0,1.0
33,50.0,69.0,1.0
34,50.0,51.0,1.0
35,50.0,81.0,1.0
36,50.0,81.0,1.0
37,50.0,76.0,1.0
38,50.0,83.0,1.0
39,50.0,92.0,1.0
40,50.0,54.0,1.0
41,50.0,73.0,1.0
42,50.0,50.0,4.0
43,50.0,56.0,4.0
44,50.0,58.0,4.0
45,50.0,20.0,4.0
46,50.0,,4.0
47,50.0,42.0,4.0
48,50.0,63.0,4.0
49,50.0,33.0,4.0
50,50.0,50.0,4.0
51,50.0,66.0,4.0
52,50.0,33.0,4.0
53,50.0,5.0,4.0
54,50.0,34.0,4.0
55,50.0,65.0,4.0
56,50.0,61.0,4.0
57,50.0,37.0,4.0
58,50.0,15.0,4.0
59,50.0,58.0,4.0
60,50.0,64.0,4.0
61,50.0,51.0,4.0
62,50.0,71.0,4.0
63,50.0,73.0,4.0
64,50.0,69.0,4.0
65,50.0,62.0,4.0
66,50.0,67.0,4.0
67,50.0,34.0,4.0
68,50.0,46.0,4.0
69,50.0,51.0,4.0
70,50.0,65.0,4.0
71,50.0,35.0,4.0
72,50.0,86.0,4.0
73,50.0,50.0,4.0
74,50.0,57.0,4.0
75,50.0,66.0,4.0
76,50.0,19.0,4.0
77,50.0,83.0,4.0
78,50.0,63.0,4.0
79,50.0,44.0,4.0
80,50.0,47.0,4.0
81,50.0,52.0,4.0
82,50.0,3.0,4.0
83,50.0,88.0,4.0
84,50.0,30.0,5.0
85,50.0,12.0,5.0
86,50.0,50.0,5.0
87,50.0,41.0,5.0
88,50.0,,5.0
89,50.0,51.0,5.0
90,50.0,42.0,5.0
91,50.0,13.0,5.0
92,50.0,19.0,5.0
93,50.0,62.0,5.0
94,50.0,26.0,5.0
95,50.0,23.0,5.0
96,50.0,34.0,5.0
97,50.0,24.0,5.0
98,50.0,58.0,5.0
99,50.0,55.0,5.0
100,50.0,17.0,5.0
101,50.0,28.0,5.0
102,50.0,62.0,5.0
103,50.0,42.0,5.0
104,50.0,57.0,5.0
105,50.0,45.0,5.0
106,50.0,61.0,5.0
107,50.0,17.0,5.0
108,50.0,81.0,5.0
109,50.0,28.0,5.0
110,50.0,22.0,5.0
111,50.0,30.0,5.0
112,50.0,51.0,5.0
113,50.0,45.0,5.0
114,50.0,63.0,5.0
115,50.0,47.0,5.0
116,50.0,55.0,5.0
117,50.0,26.0,5.0
118,50.0,17.0,5.0
119,50.0,60.0,5.0
120,50.0,76.0,5.0
121,50.0,52.0,5.0
122,50.0,50.0,5.0
123,50.0,35.0,5.0
124,50.0,38.0,5.0
125,50.0,66.0,5.0
126,50.0,64.0,9.0
127,50.0,22.0,9.0
128,50.0,27.0,9.0
129,50.0,35.0,9.0
130,50.0,,9.0
131,50.0,49.0,9.0
132,50.0,57.0,9.0
133,50.0,76.0,9.0
134,50.0,59.0,9.0
135,50.0,51.0,9.0
136,50.0,47.0,9.0
137,50.0,34.0,9.0
138,50.0,54.0,9.0
139,50.0,98.0,9.0
140,50.0,64.0,9.0
141,50.0,39.0,9.0
142,50.0,0.0,9.0
143,50.0,90.0,9.0
144,50.0,61.0,9.0
145,50.0,33.0,9.0
146,50.0,100.0,9.0
147,50.0,100.0,9.0
148,50.0,79.0,9.0
149,50.0,45.0,9.0
150,50.0,87.0,9.0
151,50.0,38.0,9.0
152,50.0,73.0,9.0
153,50.0,48.0,9.0
154,50.0,39.0,9.0
155,50.0,50.0,9.0
156,50.0,71.0,9.0
157,50.0,85.0,9.0
158,50.0,62.0,9.0
159,50.0,53.0,9.0
160,50.0,27.0,9.0
161,50.0,51.0,9.0
162,50.0,46.0,9.0
163,50.0,46.0,9.0
164,50.0,52.0,9.0
165,50.0,32.0,9.0
166,50.0,50.0,9.0
167,50.0,53.0,9.0
168,50.0,9.0,12.0
169,50.0,20.0,12.0
170,50.0,23.0,12.0
171,50.0,7.0,12.0
172,50.0,,12.0
173,50.0,62.0,12.0
174,50.0,47.0,12.0
175,50.0,55.0,12.0
176,50.0,29.0,12.0
177,50.0,55.0,12.0
178,50.0,27.0,12.0
179,50.0,22.0,12.0
180,50.0,42.0,12.0
181,50.0,62.0,12.0
182,50.0,55.0,12.0
183,50.0,59.0,12.0
184,50.0,26.0,12.0
185,50.0,66.0,12.0
186,50.0,65.0,12.0
187,50.0,35.0,12.0
188,50.0,63.0,12.0
189,50.0,64.0,12.0
190,50.0,36.0,12.0
191,50.0,61.0,12.0
192,50.0,52.0,12.0
193,50.0,28.0,12.0
194,50.0,52.0,12.0
195,50.0,23.0,12.0
196,50.0,42.0,12.0
197,50.0,17.0,12.0
198,50.0,65.0,12.0
199,50.0,50.0,12.0
200,50.0,56.0,12.0
201,50.0,58.0,12.0
202,50.0,42.0,12.0
203,50.0,35.0,12.0
204,50.0,57.0,12.0
205,50.0,30.0,12.0
206,50.0,56.0,12.0
207,50.0,55.0,12.0
208,50.0,31.0,12.0
209,50.0,72.0,12.0
210,50.0,11.0,14.0
211,50.0,0.0,14.0
212,50.0,53.0,14.0
213,50.0,10.0,14.0
214,50.0,,14.0
215,50.0,54.0,14.0
216,50.0,30.0,14.0
217,50.0,73.0,14.0
218,50.0,22.0,14.0
219,50.0,45.0,14.0
220,50.0,39.0,14.0
221,50.0,23.0,14.0
222,50.0,36.0,14.0
223,50.0,61.0,14.0
224,50.0,41.0,14.0
225,50.0,31.0,14.0
226,50.0,21.0,14.0
227,50.0,86.0,14.0
228,50.0,69.0,14.0
229,50.0,18.0,14.0
230,50.0,41.0,14.0
231,50.0,69.0,14.0
232,50.0,15.0,14.0
233,50.0,52.0,14.0
234,50.0,49.0,14.0
235,50.0,23.0,14.0
236,50.0,51.0,14.0
237,50.0,29.0,14.0
238,50.0,31.0,14.0
239,50.0,34.0,14.0
240,50.0,41.0,14.0
241,50.0,66.0,14.0
242,50.0,36.0,14.0
243,50.0,30.0,14.0
244,50.0,0.0,14.0
245,50.0,42.0,14.0
246,50.0,48.0,14.0
247,50.0,39.0,14.0
248,50.0,53.0,14.0
249,50.0,25.0,14.0
250,50.0,23.0,14.0
251,50.0,21.0,14.0
252,50.0,28.0,15.0
253,50.0,6.0,15.0
254,50.0,12.0,15.0
255,50.0,3.0,15.0
256,50.0,,15.0
257,50.0,12.0,15.0
258,50.0,10.0,15.0
259,50.0,76.0,15.0
260,50.0,81.0,15.0
261,50.0,21.0,15.0
262,50.0,13.0,15.0
263,50.0,9.0,15.0
264,50.0,33.0,15.0
265,50.0,83.0,15.0
266,50.0,86.0,15.0
267,50.0,5.0,15.0
268,50.0,61.0,15.0
