,Model,Human,Ind
0,0.0,99.634765625,12.0
1,,99.232421875,12.0
2,0.0,99.232421875,12.0
3,,99.96809895833333,12.0
4,,99.26692708333333,12.0
5,0.0,99.76692708333333,12.0
6,,99.46809895833333,12.0
7,,99.95833333333333,12.0
8,,99.42838541666667,12.0
9,,98.86002604166667,12.0
10,,99.43359375,12.0
11,0.0,99.71744791666667,12.0
12,100.0,99.673828125,12.0
13,0.0,99.59049479166667,12.0
14,,99.26692708333333,12.0
15,,99.55598958333333,12.0
16,,99.10026041666667,12.0
17,,99.38411458333333,12.0
18,0.0,99.45703125,13.0
19,,99.69270833333333,13.0
20,0.0,91.755859375,13.0
21,,73.220703125,13.0
22,,87.00065104166667,13.0
23,0.0,76.92708333333333,13.0
24,,1.615234375,13.0
25,,82.34375,13.0
26,,23.865885416666668,13.0
27,,66.23502604166667,13.0
28,,38.057942708333336,13.0
29,0.0,64.68619791666667,13.0
30,100.0,99.80533854166667,13.0
31,0.0,99.16796875,13.0
32,,86.30989583333333,13.0
33,,92.19205729166667,13.0
34,,71.54947916666667,13.0
35,,99.76106770833333,13.0
36,0.0,98.103515625,14.0
37,,98.9609375,14.0
38,0.0,99.86783854166667,14.0
39,,99.41666666666667,14.0
40,,97.31380208333333,14.0
41,0.0,99.333984375,14.0
42,,9.065755208333334,14.0
43,,96.36783854166667,14.0
44,,25.938802083333332,14.0
45,,62.548177083333336,14.0
46,,48.650390625,14.0
47,0.0,73.54361979166667,14.0
48,100.0,98.81380208333333,14.0
49,0.0,96.36783854166667,14.0
50,,66.396484375,14.0
51,,87.94596354166667,14.0
52,,88.11263020833333,14.0
53,,99.53971354166667,14.0
54,0.0,97.68619791666667,15.0
55,,95.646484375,15.0
56,0.0,98.48502604166667,15.0
57,,97.97526041666667,15.0
58,,95.97005208333333,15.0
59,0.0,96.68098958333333,15.0
60,,13.869140625,15.0
61,,96.357421875,15.0
62,,52.841145833333336,15.0
63,,99.376953125,15.0
64,,51.159505208333336,15.0
65,0.0,97.29361979166667,15.0
66,100.0,99.71028645833333,15.0
67,0.0,99.73502604166667,15.0
68,,99.53385416666667,15.0
69,,99.94596354166667,15.0
70,,98.14192708333333,15.0
71,,98.65169270833333,15.0
72,0.0,81.78190104166667,16.0
73,,97.63541666666667,16.0
74,0.0,87.0078125,16.0
75,,48.751302083333336,16.0
76,,97.69466145833333,16.0
77,0.0,87.08658854166667,16.0
78,,24.319010416666668,16.0
79,,74.20833333333333,16.0
80,,25.265625,16.0
81,,38.535807291666664,16.0
82,,54.364583333333336,16.0
83,0.0,22.157552083333332,16.0
84,100.0,96.14518229166667,16.0
85,0.0,95.53255208333333,16.0
86,,71.80143229166667,16.0
87,,34.07421875,16.0
88,,6.945963541666667,16.0
89,,98.3515625,16.0
90,0.0,96.22526041666667,17.0
91,,94.49934895833333,17.0
92,0.0,66.19596354166667,17.0
93,,72.50846354166667,17.0
94,,80.39127604166667,17.0
95,0.0,55.077473958333336,17.0
96,,0.7864583333333334,17.0
97,,94.08268229166667,17.0
98,,6.466796875,17.0
99,,87.50911458333333,17.0
100,,4.629557291666667,17.0
101,0.0,23.825520833333332,17.0
102,100.0,98.470703125,17.0
103,0.0,98.49609375,17.0
104,,78.70963541666667,17.0
105,,85.96158854166667,17.0
106,,43.802734375,17.0
107,,98.84765625,17.0
108,0.0,98.40625,18.0
109,,98.81770833333333,18.0
110,0.0,89.44986979166667,18.0
111,,93.71484375,18.0
112,,98.45052083333333,18.0
113,0.0,99.25455729166667,18.0
114,,17.143229166666668,18.0
115,,98.03841145833333,18.0
116,,26.923177083333332,18.0
117,,96.78841145833333,18.0
118,,29.3984375,18.0
119,0.0,96.00911458333333,18.0
120,100.0,97.35677083333333,18.0
121,0.0,98.23958333333333,18.0
122,,79.49869791666667,18.0
123,,98.1953125,18.0
124,,29.276041666666668,18.0
125,,97.19010416666667,18.0
126,0.0,99.50390625,19.0
127,,98.4453125,19.0
128,0.0,53.237630208333336,19.0
129,,31.452473958333332,19.0
130,,24.780598958333332,19.0
131,0.0,54.6640625,19.0
132,,2.7115885416666665,19.0
133,,98.146484375,19.0
134,,0.7018229166666666,19.0
135,,12.265625,19.0
136,,6.309895833333333,19.0
137,0.0,1.11328125,19.0
138,100.0,99.89127604166667,19.0
139,0.0,98.67057291666667,19.0
140,,90.435546875,19.0
141,,91.23893229166667,19.0
142,,12.348958333333334,19.0
143,,99.97005208333333,19.0
144,0.0,85.13671875,20.0
145,,74.58203125,20.0
146,0.0,88.30794270833333,20.0
147,,87.29361979166667,20.0
148,,79.87630208333333,20.0
149,0.0,68.55729166666667,20.0
150,,4.682291666666667,20.0
151,,52.19921875,20.0
152,,7.912760416666667,20.0
153,,50.929036458333336,20.0
154,,8.962239583333334,20.0
155,0.0,45.070963541666664,20.0
156,100.0,98.81315104166667,20.0
157,0.0,88.05338541666667,20.0
158,,88.43033854166667,20.0
159,,91.78385416666667,20.0
160,,21.516276041666668,20.0
161,,99.95052083333333,20.0
162,0.0,93.931640625,37.0
163,,96.17708333333333,37.0
164,0.0,94.60026041666667,37.0
165,,95.9453125,37.0
166,,95.78059895833333,37.0
167,0.0,89.275390625,37.0
168,,96.880859375,37.0
169,,74.84049479166667,37.0
170,,98.34765625,37.0
171,,81.94596354166667,37.0
172,,95.05403645833333,37.0
173,0.0,80.83138020833333,37.0
174,100.0,98.79752604166667,37.0
175,0.0,88.89127604166667,37.0
176,,73.61263020833333,37.0
177,,69.54752604166667,37.0
178,,33.155598958333336,37.0
179,,95.6484375,37.0
180,0.0,120.35611979166667,43.0
181,,119.41015625,43.0
182,0.0,120.58919270833333,43.0
183,,120.861328125,43.0
184,,120.54231770833333,43.0
185,0.0,119.123046875,43.0
186,,80.58854166666667,43.0
187,,88.87565104166667,43.0
188,,68.31184895833333,43.0
189,,120.25260416666667,43.0
190,,100.04427083333333,43.0
191,0.0,80.33138020833333,43.0
192,100.0,119.77799479166667,43.0
193,0.0,119.38151041666667,43.0
194,,105.375,43.0
195,,116.95247395833333,43.0
196,,75.41861979166667,43.0
197,,121.31184895833333,43.0
198,0.0,98.61067708333333,44.0
199,,98.81184895833333,44.0
200,0.0,98.48046875,44.0
201,,99.14973958333333,44.0
202,,99.14518229166667,44.0
203,0.0,97.798828125,44.0
204,,18.428385416666668,44.0
205,,50.096354166666664,44.0
206,,35.936848958333336,44.0
207,,49.623697916666664,44.0
208,,8.903645833333334,44.0
209,0.0,43.010416666666664,44.0
210,100.0,99.26236979166667,44.0
211,0.0,98.03450520833333,44.0
212,,82.73763020833333,44.0
213,,86.857421875,44.0
214,,48.782552083333336,44.0
215,,99.42903645833333,44.0
216,0.0,98.46158854166667,45.0
217,,98.91666666666667,45.0
218,0.0,98.142578125,45.0
219,,98.05403645833333,45.0
220,,98.71158854166667,45.0
221,0.0,98.47591145833333,45.0
222,,24.380208333333332,45.0
223,,0.560546875,45.0
224,,99.353515625,45.0
225,,2.693359375,45.0
226,,98.77018229166667,45.0
227,0.0,34.194661458333336,45.0
228,100.0,99.03971354166667,45.0
229,0.0,44.87109375,45.0
230,,45.248697916666664,45.0
231,,47.567057291666664,45.0
232,,1.0748697916666667,45.0
233,,98.412109375,45.0
234,0.0,98.84505208333333,48.0
235,,99.86848958333333,48.0
236,0.0,99.68619791666667,48.0
237,,99.82942708333333,48.0
238,,99.326171875,48.0
239,0.0,99.572265625,48.0
240,,0.6673177083333334,48.0
241,,1.7513020833333333,48.0
242,,1.3671875,48.0
243,,2.1881510416666665,48.0
244,,1.0963541666666667,48.0
245,0.0,1.2630208333333333,48.0
246,100.0,46.15625,48.0
247,0.0,99.58138020833333,48.0
248,,99.81770833333333,48.0
249,,99.34765625,48.0
250,,45.119140625,48.0
251,,99.62825520833333,48.0
