,Model,Human,Ind
0,100.0,99.634765625,12.0
1,100.0,99.232421875,12.0
2,100.0,99.232421875,12.0
3,100.0,99.96809895833333,12.0
4,100.0,99.26692708333333,12.0
5,100.0,99.76692708333333,12.0
6,100.0,99.46809895833333,12.0
7,0.0,99.95833333333333,12.0
8,0.0,99.42838541666667,12.0
9,0.0,98.86002604166667,12.0
10,0.0,99.43359375,12.0
11,0.0,99.71744791666667,12.0
12,0.0,99.673828125,12.0
13,0.0,99.59049479166667,12.0
14,0.0,99.26692708333333,12.0
15,0.0,99.55598958333333,12.0
16,100.0,99.10026041666667,12.0
17,0.0,99.38411458333333,12.0
18,100.0,99.45703125,13.0
19,100.0,99.69270833333333,13.0
20,100.0,91.755859375,13.0
21,100.0,73.220703125,13.0
22,100.0,87.00065104166667,13.0
23,100.0,76.92708333333333,13.0
24,100.0,1.615234375,13.0
25,0.0,82.34375,13.0
26,0.0,23.865885416666668,13.0
27,0.0,66.23502604166667,13.0
28,0.0,38.057942708333336,13.0
29,0.0,64.68619791666667,13.0
30,0.0,99.80533854166667,13.0
31,0.0,99.16796875,13.0
32,0.0,86.30989583333333,13.0
33,0.0,92.19205729166667,13.0
34,100.0,71.54947916666667,13.0
35,0.0,99.76106770833333,13.0
36,100.0,98.103515625,14.0
37,100.0,98.9609375,14.0
38,100.0,99.86783854166667,14.0
39,100.0,99.41666666666667,14.0
40,100.0,97.31380208333333,14.0
41,100.0,99.333984375,14.0
42,100.0,9.065755208333334,14.0
43,0.0,96.36783854166667,14.0
44,0.0,25.938802083333332,14.0
45,0.0,62.548177083333336,14.0
46,0.0,48.650390625,14.0
47,0.0,73.54361979166667,14.0
48,0.0,98.81380208333333,14.0
49,0.0,96.36783854166667,14.0
50,0.0,66.396484375,14.0
51,0.0,87.94596354166667,14.0
52,100.0,88.11263020833333,14.0
53,0.0,99.53971354166667,14.0
54,100.0,97.68619791666667,15.0
55,100.0,95.646484375,15.0
56,100.0,98.48502604166667,15.0
57,100.0,97.97526041666667,15.0
58,100.0,95.97005208333333,15.0
59,100.0,96.68098958333333,15.0
60,100.0,13.869140625,15.0
61,0.0,96.357421875,15.0
62,0.0,52.841145833333336,15.0
63,0.0,99.376953125,15.0
64,0.0,51.159505208333336,15.0
65,0.0,97.29361979166667,15.0
66,0.0,99.71028645833333,15.0
67,0.0,99.73502604166667,15.0
68,0.0,99.53385416666667,15.0
69,0.0,99.94596354166667,15.0
70,100.0,98.14192708333333,15.0
71,0.0,98.65169270833333,15.0
72,100.0,81.78190104166667,16.0
73,100.0,97.63541666666667,16.0
74,100.0,87.0078125,16.0
