,Model,Human,Ind
0,90.0,11.042317708333334,22.0
1,90.0,2.2356770833333335,22.0
2,90.0,13.64453125,22.0
3,90.0,55.452473958333336,22.0
4,90.0,95.89713541666667,22.0
5,90.0,87.322265625,22.0
6,90.0,21.573567708333332,22.0
7,90.0,6.212890625,22.0
8,90.0,60.2890625,22.0
9,90.0,30.384114583333332,22.0
10,90.0,95.40690104166667,22.0
11,90.0,87.16861979166667,22.0
12,100.0,25.087239583333332,22.0
13,90.0,1.8470052083333333,22.0
14,90.0,75.77669270833333,22.0
15,90.0,65.05924479166667,22.0
16,90.0,99.53971354166667,22.0
17,90.0,99.568359375,22.0
18,90.0,8.625,23.0
19,90.0,1.4934895833333333,23.0
20,90.0,25.216145833333332,23.0
21,90.0,16.591796875,23.0
22,90.0,86.326171875,23.0
23,90.0,82.05013020833333,23.0
24,90.0,2.1477864583333335,23.0
25,90.0,32.686848958333336,23.0
26,90.0,21.261067708333332,23.0
27,90.0,17.693359375,23.0
28,90.0,94.38997395833333,23.0
29,90.0,97.853515625,23.0
30,100.0,10.259765625,23.0
31,90.0,0.8294270833333334,23.0
32,90.0,36.693359375,23.0
33,90.0,5.789713541666667,23.0
34,90.0,95.705078125,23.0
35,90.0,99.42122395833333,23.0
36,90.0,55.58203125,25.0
37,90.0,45.19921875,25.0
38,90.0,8.014973958333334,25.0
39,90.0,28.783203125,25.0
40,90.0,91.00520833333333,25.0
41,90.0,82.73958333333333,25.0
42,90.0,77.33658854166667,25.0
43,90.0,33.35546875,25.0
44,90.0,28.502604166666668,25.0
45,90.0,5.452473958333333,25.0
46,90.0,96.83854166666667,25.0
47,90.0,25.719401041666668,25.0
48,100.0,29.317708333333332,25.0
49,90.0,31.059895833333332,25.0
50,90.0,26.400390625,25.0
51,90.0,8.676432291666666,25.0
52,90.0,99.56315104166667,25.0
53,90.0,99.9609375,25.0
54,90.0,19.529296875,26.0
55,90.0,31.490234375,26.0
56,90.0,35.501302083333336,26.0
57,90.0,67.25390625,26.0
58,90.0,78.19791666666667,26.0
59,90.0,20.108072916666668,26.0
60,90.0,16.25390625,26.0
61,90.0,18.755208333333332,26.0
62,90.0,63.018880208333336,26.0
63,90.0,8.771484375,26.0
64,90.0,66.68489583333333,26.0
65,90.0,66.41861979166667,26.0
66,100.0,14.509765625,26.0
67,90.0,75.45963541666667,26.0
68,90.0,23.807942708333332,26.0
69,90.0,63.330729166666664,26.0
70,90.0,98.46158854166667,26.0
71,90.0,98.81575520833333,26.0
72,90.0,0.80078125,27.0
73,90.0,0.4674479166666667,27.0
74,90.0,1.224609375,27.0
75,90.0,1.1002604166666667,27.0
76,90.0,99.3671875,27.0
77,90.0,99.38736979166667,27.0
78,90.0,1.08984375,27.0
79,90.0,1.0631510416666667,27.0
80,90.0,1.4967447916666667,27.0
81,90.0,0.9563802083333334,27.0
82,90.0,99.59440104166667,27.0
83,90.0,99.48502604166667,27.0
84,100.0,0.6510416666666666,27.0
85,90.0,0.6022135416666666,27.0
