,Model,Human,Ind
0,100.0,99.634765625,12.0
1,20.0,99.232421875,12.0
2,100.0,99.232421875,12.0
3,50.0,99.96809895833333,12.0
4,20.0,99.26692708333333,12.0
5,100.0,99.76692708333333,12.0
6,100.0,99.46809895833333,12.0
7,50.0,99.95833333333333,12.0
8,20.0,99.42838541666667,12.0
9,50.0,98.86002604166667,12.0
10,20.0,99.43359375,12.0
11,100.0,99.71744791666667,12.0
12,50.0,99.673828125,12.0
13,,99.59049479166667,12.0
14,90.0,99.26692708333333,12.0
15,100.0,99.55598958333333,12.0
16,100.0,99.10026041666667,12.0
17,100.0,99.38411458333333,12.0
18,100.0,99.45703125,13.0
19,20.0,99.69270833333333,13.0
20,100.0,91.755859375,13.0
21,50.0,73.220703125,13.0
22,20.0,87.00065104166667,13.0
23,100.0,76.92708333333333,13.0
24,100.0,1.615234375,13.0
25,50.0,82.34375,13.0
26,20.0,23.865885416666668,13.0
27,50.0,66.23502604166667,13.0
28,20.0,38.057942708333336,13.0
29,100.0,64.68619791666667,13.0
30,50.0,99.80533854166667,13.0
31,,99.16796875,13.0
32,90.0,86.30989583333333,13.0
33,100.0,92.19205729166667,13.0
34,100.0,71.54947916666667,13.0
35,100.0,99.76106770833333,13.0
36,100.0,98.103515625,14.0
37,20.0,98.9609375,14.0
38,100.0,99.86783854166667,14.0
39,50.0,99.41666666666667,14.0
40,20.0,97.31380208333333,14.0
41,100.0,99.333984375,14.0
42,100.0,9.065755208333334,14.0
43,50.0,96.36783854166667,14.0
44,20.0,25.938802083333332,14.0
45,50.0,62.548177083333336,14.0
46,20.0,48.650390625,14.0
47,100.0,73.54361979166667,14.0
48,50.0,98.81380208333333,14.0
49,,96.36783854166667,14.0
50,90.0,66.396484375,14.0
51,100.0,87.94596354166667,14.0
52,100.0,88.11263020833333,14.0
53,100.0,99.53971354166667,14.0
54,100.0,97.68619791666667,15.0
55,20.0,95.646484375,15.0
56,100.0,98.48502604166667,15.0
57,50.0,97.97526041666667,15.0
58,20.0,95.97005208333333,15.0
59,100.0,96.68098958333333,15.0
60,100.0,13.869140625,15.0
61,50.0,96.357421875,15.0
62,20.0,52.841145833333336,15.0
63,50.0,99.376953125,15.0
64,20.0,51.159505208333336,15.0
65,100.0,97.29361979166667,15.0
66,50.0,99.71028645833333,15.0
67,,99.73502604166667,15.0
68,90.0,99.53385416666667,15.0
69,100.0,99.94596354166667,15.0
70,100.0,98.14192708333333,15.0
71,100.0,98.65169270833333,15.0
72,100.0,81.78190104166667,16.0
73,20.0,97.63541666666667,16.0
74,100.0,87.0078125,16.0
75,50.0,48.751302083333336,16.0
76,20.0,97.69466145833333,16.0
77,100.0,87.08658854166667,16.0
78,100.0,24.319010416666668,16.0
79,50.0,74.20833333333333,16.0
80,20.0,25.265625,16.0
81,50.0,38.535807291666664,16.0
82,20.0,54.364583333333336,16.0
83,100.0,22.157552083333332,16.0
84,50.0,96.14518229166667,16.0
85,,95.53255208333333,16.0
86,90.0,71.80143229166667,16.0
87,100.0,34.07421875,16.0
88,100.0,6.945963541666667,16.0
89,100.0,98.3515625,16.0
90,100.0,96.22526041666667,17.0
91,20.0,94.49934895833333,17.0
92,100.0,66.19596354166667,17.0
93,50.0,72.50846354166667,17.0
94,20.0,80.39127604166667,17.0
95,100.0,55.077473958333336,17.0
96,100.0,0.7864583333333334,17.0
97,50.0,94.08268229166667,17.0
98,20.0,6.466796875,17.0
99,50.0,87.50911458333333,17.0
100,20.0,4.629557291666667,17.0
101,100.0,23.825520833333332,17.0
102,50.0,98.470703125,17.0
103,,98.49609375,17.0
104,90.0,78.70963541666667,17.0
105,100.0,85.96158854166667,17.0
106,100.0,43.802734375,17.0
107,100.0,98.84765625,17.0
108,100.0,98.40625,18.0
109,20.0,98.81770833333333,18.0
110,100.0,89.44986979166667,18.0
111,50.0,93.71484375,18.0
112,20.0,98.45052083333333,18.0
113,100.0,99.25455729166667,18.0
114,100.0,17.143229166666668,18.0
115,50.0,98.03841145833333,18.0
116,20.0,26.923177083333332,18.0
117,50.0,96.78841145833333,18.0
118,20.0,29.3984375,18.0
119,100.0,96.00911458333333,18.0
120,50.0,97.35677083333333,18.0
121,,98.23958333333333,18.0
122,90.0,79.49869791666667,18.0
123,100.0,98.1953125,18.0
124,100.0,29.276041666666668,18.0
125,100.0,97.19010416666667,18.0
126,100.0,99.50390625,19.0
127,20.0,98.4453125,19.0
128,100.0,53.237630208333336,19.0
129,50.0,31.452473958333332,19.0
130,20.0,24.780598958333332,19.0
131,100.0,54.6640625,19.0
132,100.0,2.7115885416666665,19.0
133,50.0,98.146484375,19.0
134,20.0,0.7018229166666666,19.0
135,50.0,12.265625,19.0
136,20.0,6.309895833333333,19.0
