,Model,Human
0,5.0,-0.2289610171
1,3.0,-0.3294771339
2,,-0.1701839804
3,5.0,-0.4354430304
4,,0.1514241802
5,5.0,-0.3380382896
6,,-0.4135898218
7,3.0,0.1817510244
8,5.0,1.316889335
9,,-1.067777554
10,5.0,1.084167226
11,5.0,-0.6020125677
12,,-0.5045297062
13,3.0,0.4754726542
14,,1.300486863
15,,-0.9586104462
16,5.0,0.8421183057
17,5.0,-0.5780319782
18,3.0,-0.5385557862
19,,0.5209050639
20,3.0,1.30403963
21,,-1.139407288
22,5.0,-0.6703821361
23,2.0,0.4610981216
24,3.0,0.877161003
25,,-0.511273971
26,3.0,-0.670607292
27,5.0,0.895949118
28,5.0,-0.435196183
29,3.0,0.79678467
30,3.0,-0.114343598
31,3.0,-0.364653066
32,2.0,-1.010923298
33,5.0,1.092648376
34,5.0,0.567427011
35,5.0,-0.129662645
36,3.0,-0.005591081
37,5.0,0.748788296
38,2.0,-0.287522002
39,3.0,-0.340737028
40,5.0,-0.460317895
41,5.0,0.611364492
42,5.0,-1.198567509
43,3.0,1.489490409
44,5.0,0.378123203
45,5.0,-0.132296626
46,2.0,-0.158022576
47,,-0.112122748
48,5.0,-0.27039253
49,,-0.494102056
50,5.0,0.085914878
51,3.0,-0.092813926
52,3.0,-0.388618393
53,5.0,-0.9460990127
54,5.0,0.9629230293
55,5.0,0.9320158422
56,5.0,-0.5692887548
57,5.0,-0.4373389101
58,5.0,0.2996547916
59,5.0,0.7674968543
60,5.0,-0.5701307328
61,5.0,-0.7680416738
62,5.0,0.8376894393
63,5.0,0.5747248459
64,5.0,-1.002789345
65,5.0,-0.8605824475
66,5.0,0.5881423964
67,5.0,-0.6196841249
68,5.0,0.8972270041
69,5.0,0.9518938919
70,5.0,-0.8602329513
71,5.0,0.6205678548
72,5.0,-0.7331296079
73,5.0,-0.4791447056
74,5.0,0.6228283722
75,5.0,-0.875099171
76,5.0,0.6751187973
77,5.0,0.8327722212
78,5.0,-0.8022030608
79,5.0,0.7499104913
80,5.0,-0.7892013337
