,Model,Human
0,8.0,-0.2289610171
1,8.0,-0.3294771339
2,8.0,-0.1701839804
3,8.0,-0.4354430304
4,7.0,0.1514241802
5,7.0,-0.3380382896
6,2.0,-0.4135898218
7,8.0,0.1817510244
8,3.0,1.316889335
9,4.0,-1.067777554
10,3.0,1.084167226
11,6.0,-0.6020125677
12,3.0,-0.5045297062
13,8.0,0.4754726542
14,2.0,1.300486863
15,7.0,-0.9586104462
16,4.0,0.8421183057
17,4.0,-0.5780319782
18,2.0,-0.5385557862
19,8.0,0.5209050639
20,2.0,1.30403963
21,3.0,-1.139407288
22,3.0,-0.6703821361
23,7.0,0.4610981216
24,3.0,0.877161003
25,4.0,-0.511273971
26,8.0,-0.670607292
27,2.0,0.895949118
28,2.0,-0.435196183
29,2.0,0.79678467
30,8.0,-0.114343598
31,2.0,-0.364653066
32,8.0,-1.010923298
33,2.0,1.092648376
34,2.0,0.567427011
35,2.0,-0.129662645
36,2.0,-0.005591081
37,2.0,0.748788296
38,8.0,-0.287522002
39,2.0,-0.340737028
40,2.0,-0.460317895
41,2.0,0.611364492
42,8.0,-1.198567509
43,2.0,1.489490409
44,2.0,0.378123203
45,2.0,-0.132296626
46,2.0,-0.158022576
47,2.0,-0.112122748
48,2.0,-0.27039253
49,3.0,-0.494102056
50,3.0,0.085914878
51,2.0,-0.092813926
52,2.0,-0.388618393
53,2.0,-0.9460990127
54,8.0,0.9629230293
55,2.0,0.9320158422
56,8.0,-0.5692887548
57,3.0,-0.4373389101
58,7.0,0.2996547916
59,2.0,0.7674968543
60,7.0,-0.5701307328
61,2.0,-0.7680416738
62,8.0,0.8376894393
63,2.0,0.5747248459
64,8.0,-1.002789345
65,2.0,-0.8605824475
66,8.0,0.5881423964
67,3.0,-0.6196841249
68,8.0,0.8972270041
69,3.0,0.9518938919
70,8.0,-0.8602329513
71,3.0,0.6205678548
72,7.0,-0.7331296079
73,3.0,-0.4791447056
74,7.0,0.6228283722
75,2.0,-0.875099171
76,8.0,0.6751187973
77,3.0,0.8327722212
78,8.0,-0.8022030608
79,6.0,0.7499104913
80,8.0,-0.7892013337
