,Model,Human
0,5.0,-0.2289610171
1,7.0,-0.3294771339
2,5.0,-0.1701839804
3,7.0,-0.4354430304
4,7.0,0.1514241802
5,,-0.3380382896
6,3.0,-0.4135898218
7,7.0,0.1817510244
8,5.0,1.316889335
9,0.0,-1.067777554
10,5.0,1.084167226
11,7.0,-0.6020125677
12,,-0.5045297062
13,,0.4754726542
14,7.0,1.300486863
15,7.0,-0.9586104462
16,7.0,0.8421183057
17,7.0,-0.5780319782
18,6.0,-0.5385557862
19,,0.5209050639
20,3.0,1.30403963
21,7.0,-1.139407288
22,8.0,-0.6703821361
23,7.0,0.4610981216
24,5.0,0.877161003
25,7.0,-0.511273971
26,5.0,-0.670607292
27,4.0,0.895949118
28,7.0,-0.435196183
29,10.0,0.79678467
30,7.0,-0.114343598
31,5.0,-0.364653066
32,5.0,-1.010923298
33,,1.092648376
34,7.0,0.567427011
35,5.0,-0.129662645
36,7.0,-0.005591081
37,7.0,0.748788296
38,5.0,-0.287522002
39,5.0,-0.340737028
40,5.0,-0.460317895
41,5.0,0.611364492
42,7.0,-1.198567509
43,5.0,1.489490409
44,7.0,0.378123203
45,5.0,-0.132296626
46,,-0.158022576
47,7.0,-0.112122748
48,7.0,-0.27039253
49,7.0,-0.494102056
50,,0.085914878
51,7.0,-0.092813926
52,7.0,-0.388618393
53,5.0,-0.9460990127
54,7.0,0.9629230293
55,5.0,0.9320158422
56,7.0,-0.5692887548
57,7.0,-0.4373389101
58,7.0,0.2996547916
59,5.0,0.7674968543
60,5.0,-0.5701307328
61,,-0.7680416738
62,5.0,0.8376894393
63,5.0,0.5747248459
64,,-1.002789345
65,5.0,-0.8605824475
66,5.0,0.5881423964
67,5.0,-0.6196841249
68,5.0,0.8972270041
69,,0.9518938919
70,5.0,-0.8602329513
71,,0.6205678548
72,,-0.7331296079
73,5.0,-0.4791447056
74,5.0,0.6228283722
75,5.0,-0.875099171
76,5.0,0.6751187973
77,5.0,0.8327722212
78,5.0,-0.8022030608
79,5.0,0.7499104913
80,5.0,-0.7892013337
