,Model,Human
0,3.0,-0.7021743259
1,3.0,1.312890426
2,3.0,0.8552248893
3,3.0,-0.5958700695
4,3.0,-0.9376312961
5,3.0,1.410892166
6,3.0,-0.3912658689
7,4.0,-0.5549499915
8,3.0,-0.5377639684
9,3.0,1.327349609
10,3.0,0.6125110271
11,3.0,-0.5397121388
12,3.0,1.059263987
13,3.0,-0.3566737016
14,3.0,-1.039804088
15,3.0,-0.5239258645
16,3.0,0.9848990885
17,3.0,0.7325850004
18,3.0,-0.5755398907
19,3.0,-0.119997015
20,3.0,-0.9311085619
21,3.0,-0.5093275041
22,3.0,-0.451942651
23,3.0,-0.7080695465
24,3.0,1.139073776
25,3.0,0.759271177
26,3.0,-0.735438078
27,3.0,0.403285342
28,3.0,-0.613697427
29,3.0,-1.023217461
30,3.0,1.018003843
31,3.0,1.014213472
32,3.0,-0.926665388
33,3.0,-0.703545668
34,3.0,0.751737938
35,3.0,0.379109091
36,3.0,-0.770277905
37,4.0,-1.099098443
38,3.0,0.932875525
39,3.0,0.418076598
40,3.0,0.38458637
41,3.0,0.438992992
42,4.0,0.802794856
43,4.0,-0.853486391
44,3.0,0.501879476
45,3.0,-0.620123034
46,3.0,-1.011286385
47,3.0,1.132222791
48,3.0,1.02843866
49,3.0,-1.066383808
50,4.0,-0.644558295
51,4.0,0.637183615
52,3.0,0.524678748
53,1.0,-0.790544828
54,3.0,-1.169302631
55,3.0,0.900275247
56,3.0,-0.8537162264
57,3.0,-0.9755861949
58,3.0,1.197997849
59,3.0,0.7182485947
60,3.0,-0.8952478454
61,4.0,0.31894455
62,3.0,0.6902685065
63,3.0,-1.133011563
64,3.0,-0.889777731
65,3.0,1.153964919
66,3.0,0.5633466961
67,3.0,0.3546708686
68,3.0,-1.069977258
69,10.0,0.8198748357
