,Model,Human
0,0.0,-0.7021743259
1,7.0,1.312890426
2,0.0,0.8552248893
3,0.0,-0.5958700695
4,0.0,-0.9376312961
5,10.0,1.410892166
6,0.0,-0.3912658689
7,,-0.5549499915
8,0.0,-0.5377639684
9,10.0,1.327349609
10,0.0,0.6125110271
11,0.0,-0.5397121388
12,0.0,1.059263987
13,,-0.3566737016
14,0.0,-1.039804088
15,0.0,-0.5239258645
16,0.0,0.9848990885
17,0.0,0.7325850004
18,7.0,-0.5755398907
19,0.0,-0.119997015
20,0.0,-0.9311085619
21,0.0,-0.5093275041
22,0.0,-0.451942651
23,0.0,-0.7080695465
24,0.0,1.139073776
25,2.0,0.759271177
26,7.0,-0.735438078
27,7.0,0.403285342
28,7.0,-0.613697427
29,2.0,-1.023217461
30,7.0,1.018003843
31,8.0,1.014213472
32,5.0,-0.926665388
33,8.0,-0.703545668
34,5.0,0.751737938
35,7.0,0.379109091
36,7.0,-0.770277905
37,7.0,-1.099098443
38,0.0,0.932875525
39,7.0,0.418076598
40,4.0,0.38458637
41,7.0,0.438992992
42,7.0,0.802794856
43,7.0,-0.853486391
44,7.0,0.501879476
45,7.0,-0.620123034
46,7.0,-1.011286385
47,7.0,1.132222791
48,2.0,1.02843866
49,0.0,-1.066383808
50,0.0,-0.644558295
51,0.0,0.637183615
52,7.0,0.524678748
53,5.0,-0.790544828
54,0.0,-1.169302631
55,0.0,0.900275247
56,7.0,-0.8537162264
57,5.0,-0.9755861949
58,7.0,1.197997849
59,7.0,0.7182485947
60,7.0,-0.8952478454
61,7.0,0.31894455
62,7.0,0.6902685065
63,5.0,-1.133011563
64,7.0,-0.889777731
65,5.0,1.153964919
66,7.0,0.5633466961
67,7.0,0.3546708686
68,5.0,-1.069977258
69,7.0,0.8198748357
