,Model,Human,Ind
0,50.0,0.0,1117.0
1,50.0,2.0,1117.0
2,0.0,3.0,1117.0
3,50.0,97.0,1117.0
4,100.0,100.0,1117.0
5,100.0,97.0,1117.0
6,50.0,99.0,1117.0
7,0.0,3.0,1117.0
8,0.0,1.0,1117.0
9,100.0,1.0,1117.0
10,50.0,99.0,1117.0
11,0.0,99.0,1117.0
12,0.0,98.0,1117.0
13,0.0,99.0,1117.0
14,100.0,60.0,1117.0
15,100.0,46.0,1117.0
16,0.0,3.0,1117.0
17,0.0,1.0,1117.0
18,0.0,5.0,1117.0
19,50.0,13.0,1117.0
20,0.0,99.0,1117.0
21,0.0,97.0,1117.0
22,50.0,99.0,1117.0
23,0.0,97.0,1117.0
24,50.0,0.0,1101.0
25,50.0,0.0,1101.0
26,0.0,0.0,1101.0
27,50.0,99.0,1101.0
28,100.0,100.0,1101.0
29,100.0,,1101.0
30,50.0,100.0,1101.0
31,0.0,0.0,1101.0
32,0.0,0.0,1101.0
33,100.0,0.0,1101.0
34,50.0,100.0,1101.0
35,0.0,100.0,1101.0
36,0.0,100.0,1101.0
37,0.0,0.0,1101.0
38,100.0,100.0,1101.0
39,100.0,,1101.0
40,0.0,0.0,1101.0
41,0.0,0.0,1101.0
42,0.0,100.0,1101.0
43,50.0,100.0,1101.0
44,0.0,100.0,1101.0
45,0.0,100.0,1101.0
46,50.0,100.0,1101.0
47,0.0,100.0,1101.0
48,50.0,99.0,1138.0
49,50.0,99.0,1138.0
50,0.0,20.0,1138.0
51,50.0,99.0,1138.0
52,100.0,98.0,1138.0
53,100.0,100.0,1138.0
54,50.0,100.0,1138.0
55,0.0,1.0,1138.0
56,0.0,1.0,1138.0
57,100.0,1.0,1138.0
58,50.0,99.0,1138.0
59,0.0,99.0,1138.0
60,0.0,100.0,1138.0
61,0.0,100.0,1138.0
62,100.0,99.0,1138.0
63,100.0,49.0,1138.0
64,0.0,1.0,1138.0
65,0.0,1.0,1138.0
66,0.0,100.0,1138.0
67,50.0,1.0,1138.0
68,0.0,99.0,1138.0
69,0.0,99.0,1138.0
70,50.0,100.0,1138.0
71,0.0,99.0,1138.0
72,50.0,0.0,1114.0
73,50.0,0.0,1114.0
74,0.0,1.0,1114.0
75,50.0,86.0,1114.0
76,100.0,100.0,1114.0
77,100.0,99.0,1114.0
78,50.0,98.0,1114.0
79,0.0,2.0,1114.0
80,0.0,0.0,1114.0
81,100.0,2.0,1114.0
82,50.0,98.0,1114.0
83,0.0,98.0,1114.0
84,0.0,99.0,1114.0
85,0.0,98.0,1114.0
86,100.0,99.0,1114.0
87,100.0,74.0,1114.0
88,0.0,1.0,1114.0
89,0.0,1.0,1114.0
90,0.0,100.0,1114.0
91,50.0,98.0,1114.0
92,0.0,99.0,1114.0
93,0.0,100.0,1114.0
94,50.0,98.0,1114.0
95,0.0,,1114.0
96,50.0,0.0,1100.0
97,50.0,0.0,1100.0
98,0.0,0.0,1100.0
99,50.0,100.0,1100.0
100,100.0,100.0,1100.0
101,100.0,,1100.0
102,50.0,100.0,1100.0
103,0.0,0.0,1100.0
104,0.0,0.0,1100.0
105,100.0,0.0,1100.0
