,Model,Human,Ind
0,75.0,50.0,1192.0
1,100.0,0.0,1192.0
2,0.0,0.0,1192.0
3,75.0,,1192.0
4,75.0,0.0,1192.0
5,100.0,1.0,1192.0
6,100.0,0.0,1192.0
7,0.0,100.0,1192.0
8,100.0,100.0,1192.0
9,100.0,100.0,1192.0
10,0.0,54.0,1192.0
11,100.0,44.0,1192.0
12,100.0,0.0,1192.0
13,100.0,0.0,1192.0
14,75.0,17.0,1192.0
15,0.0,75.0,1192.0
16,75.0,100.0,1192.0
17,100.0,100.0,1192.0
18,0.0,99.0,1192.0
19,75.0,100.0,1192.0
20,100.0,100.0,1192.0
21,100.0,98.0,1192.0
22,75.0,24.0,1192.0
23,0.0,100.0,1192.0
24,75.0,21.0,1189.0
25,100.0,28.0,1189.0
26,0.0,43.0,1189.0
27,75.0,56.0,1189.0
28,75.0,42.0,1189.0
29,100.0,56.0,1189.0
30,100.0,58.0,1189.0
31,0.0,56.0,1189.0
32,100.0,62.0,1189.0
33,100.0,61.0,1189.0
34,0.0,55.0,1189.0
35,100.0,57.0,1189.0
36,100.0,56.0,1189.0
37,100.0,,1189.0
38,75.0,43.0,1189.0
39,0.0,49.0,1189.0
40,75.0,61.0,1189.0
41,100.0,58.0,1189.0
42,0.0,56.0,1189.0
43,75.0,58.0,1189.0
44,100.0,72.0,1189.0
45,100.0,58.0,1189.0
46,75.0,38.0,1189.0
47,0.0,60.0,1189.0
48,75.0,3.0,1154.0
49,100.0,3.0,1154.0
50,0.0,4.0,1154.0
51,75.0,3.0,1154.0
52,75.0,0.0,1154.0
53,100.0,1.0,1154.0
54,100.0,1.0,1154.0
55,0.0,100.0,1154.0
56,100.0,98.0,1154.0
57,100.0,1.0,1154.0
58,0.0,98.0,1154.0
59,100.0,12.0,1154.0
60,100.0,1.0,1154.0
61,100.0,2.0,1154.0
62,75.0,1.0,1154.0
63,0.0,50.0,1154.0
64,75.0,98.0,1154.0
65,100.0,97.0,1154.0
66,0.0,96.0,1154.0
67,75.0,97.0,1154.0
68,100.0,98.0,1154.0
69,100.0,98.0,1154.0
70,75.0,7.0,1154.0
71,0.0,49.0,1154.0
72,75.0,0.0,1163.0
73,100.0,11.0,1163.0
74,0.0,46.0,1163.0
75,75.0,10.0,1163.0
76,75.0,13.0,1163.0
