,Model,Human,Ind
0,,50.0,1192.0
1,,0.0,1192.0
2,,0.0,1192.0
3,,,1192.0
4,,0.0,1192.0
5,,1.0,1192.0
6,,0.0,1192.0
7,,100.0,1192.0
8,,100.0,1192.0
9,,100.0,1192.0
10,,54.0,1192.0
11,,44.0,1192.0
12,,0.0,1192.0
13,,0.0,1192.0
14,,17.0,1192.0
15,,75.0,1192.0
16,,100.0,1192.0
17,,100.0,1192.0
18,,99.0,1192.0
19,,100.0,1192.0
20,,100.0,1192.0
21,,98.0,1192.0
22,,24.0,1192.0
23,,100.0,1192.0
24,,21.0,1189.0
25,,28.0,1189.0
26,,43.0,1189.0
27,,56.0,1189.0
28,,42.0,1189.0
29,,56.0,1189.0
30,,58.0,1189.0
31,,56.0,1189.0
32,,62.0,1189.0
33,,61.0,1189.0
34,,55.0,1189.0
35,,57.0,1189.0
36,,56.0,1189.0
37,,,1189.0
38,,43.0,1189.0
39,,49.0,1189.0
40,,61.0,1189.0
41,,58.0,1189.0
42,,56.0,1189.0
43,,58.0,1189.0
44,,72.0,1189.0
45,,58.0,1189.0
46,,38.0,1189.0
47,,60.0,1189.0
48,,3.0,1154.0
49,,3.0,1154.0
50,,4.0,1154.0
51,,3.0,1154.0
52,,0.0,1154.0
53,,1.0,1154.0
54,,1.0,1154.0
55,,100.0,1154.0
56,,98.0,1154.0
57,,1.0,1154.0
58,,98.0,1154.0
59,,12.0,1154.0
60,,1.0,1154.0
61,,2.0,1154.0
62,,1.0,1154.0
63,,50.0,1154.0
64,,98.0,1154.0
65,,97.0,1154.0
66,,96.0,1154.0
67,,97.0,1154.0
68,,98.0,1154.0
69,,98.0,1154.0
70,,7.0,1154.0
71,,49.0,1154.0
72,,0.0,1163.0
73,,11.0,1163.0
74,,46.0,1163.0
75,,10.0,1163.0
76,,13.0,1163.0
77,,1.0,1163.0
78,,9.0,1163.0
79,,89.0,1163.0
80,,99.0,1163.0
81,,97.0,1163.0
82,,50.0,1163.0
83,,11.0,1163.0
84,,5.0,1163.0
85,,7.0,1163.0
86,,2.0,1163.0
87,,94.0,1163.0
88,,97.0,1163.0
89,,94.0,1163.0
90,,79.0,1163.0
91,,97.0,1163.0
92,,60.0,1163.0
93,,91.0,1163.0
94,,4.0,1163.0
95,,50.0,1163.0
96,,2.0,1171.0
97,,4.0,1171.0
98,,50.0,1171.0
99,,5.0,1171.0
100,,2.0,1171.0
101,,1.0,1171.0
102,,2.0,1171.0
103,,,1171.0
104,,98.0,1171.0
105,,98.0,1171.0
106,,91.0,1171.0
107,,50.0,1171.0
108,,25.0,1171.0
109,,3.0,1171.0
110,,1.0,1171.0
111,,57.0,1171.0
112,,98.0,1171.0
113,,98.0,1171.0
114,,96.0,1171.0
115,,99.0,1171.0
116,,97.0,1171.0
117,,96.0,1171.0
118,,96.0,1171.0
119,,51.0,1171.0
120,,0.0,1141.0
121,,0.0,1141.0
122,,50.0,1141.0
123,,0.0,1141.0
124,,1.0,1141.0
125,,2.0,1141.0
126,,0.0,1141.0
127,,98.0,1141.0
128,,100.0,1141.0
129,,100.0,1141.0
130,,93.0,1141.0
131,,40.0,1141.0
132,,40.0,1141.0
133,,2.0,1141.0
134,,0.0,1141.0
135,,100.0,1141.0
136,,100.0,1141.0
137,,100.0,1141.0
138,,100.0,1141.0
139,,100.0,1141.0
140,,76.0,1141.0
141,,100.0,1141.0
142,,8.0,1141.0
143,,91.0,1141.0
144,,,1181.0
145,,5.0,1181.0
146,,,1181.0
147,,42.0,1181.0
148,,42.0,1181.0
149,,,1181.0
150,,41.0,1181.0
151,,,1181.0
152,,62.0,1181.0
153,,,1181.0
154,,79.0,1181.0
155,,65.0,1181.0
156,,61.0,1181.0
157,,26.0,1181.0
158,,5.0,1181.0
159,,51.0,1181.0
160,,80.0,1181.0
161,,37.0,1181.0
162,,,1181.0
163,,89.0,1181.0
164,,59.0,1181.0
165,,69.0,1181.0
166,,40.0,1181.0
167,,54.0,1181.0
168,,0.0,1151.0
169,,0.0,1151.0
170,,21.0,1151.0
171,,0.0,1151.0
172,,0.0,1151.0
173,,0.0,1151.0
174,,0.0,1151.0
175,,100.0,1151.0
176,,100.0,1151.0
177,,100.0,1151.0
178,,100.0,1151.0
179,,0.0,1151.0
180,,0.0,1151.0
181,,50.0,1151.0
182,,0.0,1151.0
183,,100.0,1151.0
184,,100.0,1151.0
185,,100.0,1151.0
186,,100.0,1151.0
187,,,1151.0
188,,100.0,1151.0
189,,100.0,1151.0
190,,0.0,1151.0
191,,100.0,1151.0
192,,0.0,1182.0
193,,0.0,1182.0
194,,50.0,1182.0
195,,0.0,1182.0
196,,0.0,1182.0
197,,0.0,1182.0
198,,0.0,1182.0
199,,100.0,1182.0
200,,100.0,1182.0
201,,100.0,1182.0
202,,92.0,1182.0
203,,50.0,1182.0
204,,0.0,1182.0
205,,0.0,1182.0
206,,0.0,1182.0
207,,100.0,1182.0
208,,100.0,1182.0
209,,100.0,1182.0
210,,100.0,1182.0
211,,100.0,1182.0
212,,100.0,1182.0
213,,100.0,1182.0
214,,0.0,1182.0
215,,86.0,1182.0
216,,0.0,1183.0
217,,0.0,1183.0
218,,4.0,1183.0
219,,5.0,1183.0
220,,24.0,1183.0
221,,0.0,1183.0
222,,2.0,1183.0
223,,37.0,1183.0
224,,99.0,1183.0
225,,69.0,1183.0
226,,61.0,1183.0
227,,88.0,1183.0
228,,71.0,1183.0
229,,2.0,1183.0
230,,,1183.0
231,,48.0,1183.0
232,,100.0,1183.0
233,,99.0,1183.0
234,,99.0,1183.0
235,,99.0,1183.0
236,,90.0,1183.0
237,,100.0,1183.0
238,,3.0,1183.0
239,,50.0,1183.0
240,,1.0,1184.0
241,,1.0,1184.0
242,,50.0,1184.0
243,,1.0,1184.0
244,,0.0,1184.0
245,,1.0,1184.0
246,,2.0,1184.0
247,,100.0,1184.0
248,,99.0,1184.0
249,,99.0,1184.0
250,,99.0,1184.0
251,,28.0,1184.0
252,,2.0,1184.0
253,,2.0,1184.0
254,,0.0,1184.0
255,,50.0,1184.0
256,,100.0,1184.0
257,,100.0,1184.0
258,,100.0,1184.0
259,,100.0,1184.0
260,,99.0,1184.0
261,,100.0,1184.0
262,,2.0,1184.0
263,,50.0,1184.0
264,,4.0,1164.0
265,,4.0,1164.0
266,,9.0,1164.0
267,,2.0,1164.0
268,,3.0,1164.0
269,,1.0,1164.0
270,,5.0,1164.0
271,,98.0,1164.0
272,,,1164.0
273,,,1164.0
274,,,1164.0
275,,97.0,1164.0
276,,99.0,1164.0
277,,,1164.0
278,,4.0,1164.0
279,,13.0,1164.0
280,,98.0,1164.0
281,,98.0,1164.0
282,,98.0,1164.0
283,,97.0,1164.0
284,,97.0,1164.0
285,,98.0,1164.0
286,,80.0,1164.0
287,,48.0,1164.0
288,,1.0,1147.0
289,,1.0,1147.0
290,,50.0,1147.0
291,,10.0,1147.0
292,,,1147.0
293,,1.0,1147.0
294,,36.0,1147.0
295,,98.0,1147.0
296,,98.0,1147.0
297,,80.0,1147.0
298,,89.0,1147.0
299,,20.0,1147.0
300,,1.0,1147.0
301,,,1147.0
302,,1.0,1147.0
303,,50.0,1147.0
304,,98.0,1147.0
305,,98.0,1147.0
306,,98.0,1147.0
307,,98.0,1147.0
308,,98.0,1147.0
309,,99.0,1147.0
310,,38.0,1147.0
311,,67.0,1147.0
312,,0.0,1161.0
313,,1.0,1161.0
314,,10.0,1161.0
315,,1.0,1161.0
316,,1.0,1161.0
317,,1.0,1161.0
318,,1.0,1161.0
319,,99.0,1161.0
320,,99.0,1161.0
321,,99.0,1161.0
322,,100.0,1161.0
323,,51.0,1161.0
324,,50.0,1161.0
325,,1.0,1161.0
326,,2.0,1161.0
327,,76.0,1161.0
328,,98.0,1161.0
329,,100.0,1161.0
330,,99.0,1161.0
331,,99.0,1161.0
332,,100.0,1161.0
333,,100.0,1161.0
334,,37.0,1161.0
335,,100.0,1161.0
336,,0.0,1170.0
337,,0.0,1170.0
338,,12.0,1170.0
339,,0.0,1170.0
340,,0.0,1170.0
341,,0.0,1170.0
342,,0.0,1170.0
343,,99.0,1170.0
344,,99.0,1170.0
345,,100.0,1170.0
346,,100.0,1170.0
347,,36.0,1170.0
348,,7.0,1170.0
349,,0.0,1170.0
350,,0.0,1170.0
351,,88.0,1170.0
352,,100.0,1170.0
353,,,1170.0
354,,100.0,1170.0
355,,100.0,1170.0
356,,96.0,1170.0
357,,100.0,1170.0
358,,0.0,1170.0
359,,59.0,1170.0
360,,1.0,1173.0
361,,2.0,1173.0
362,,49.0,1173.0
363,,3.0,1173.0
364,,2.0,1173.0
365,,2.0,1173.0
366,,1.0,1173.0
367,,100.0,1173.0
368,,99.0,1173.0
369,,100.0,1173.0
370,,96.0,1173.0
371,,99.0,1173.0
372,,49.0,1173.0
373,,1.0,1173.0
374,,2.0,1173.0
375,,2.0,1173.0
376,,99.0,1173.0
377,,99.0,1173.0
378,,99.0,1173.0
379,,99.0,1173.0
380,,98.0,1173.0
381,,99.0,1173.0
382,,50.0,1173.0
383,,98.0,1173.0
384,,0.0,1155.0
385,,0.0,1155.0
386,,0.0,1155.0
387,,0.0,1155.0
388,,0.0,1155.0
389,,0.0,1155.0
390,,0.0,1155.0
391,,100.0,1155.0
392,,99.0,1155.0
393,,100.0,1155.0
394,,50.0,1155.0
395,,50.0,1155.0
396,,50.0,1155.0
397,,68.0,1155.0
398,,0.0,1155.0
399,,100.0,1155.0
400,,100.0,1155.0
401,,100.0,1155.0
402,,100.0,1155.0
403,,100.0,1155.0
404,,50.0,1155.0
405,,100.0,1155.0
406,,0.0,1155.0
407,,100.0,1155.0
408,,1.0,1140.0
409,,1.0,1140.0
410,,2.0,1140.0
411,,49.0,1140.0
412,,2.0,1140.0
413,,2.0,1140.0
414,,51.0,1140.0
415,,99.0,1140.0
416,,100.0,1140.0
417,,1.0,1140.0
418,,99.0,1140.0
419,,1.0,1140.0
420,,48.0,1140.0
421,,0.0,1140.0
422,,0.0,1140.0
423,,,1140.0
424,,99.0,1140.0
425,,99.0,1140.0
426,,99.0,1140.0
427,,99.0,1140.0
428,,99.0,1140.0
429,,99.0,1140.0
430,,2.0,1140.0
431,,50.0,1140.0
432,,0.0,1186.0
433,,0.0,1186.0
434,,50.0,1186.0
435,,0.0,1186.0
436,,0.0,1186.0
437,,0.0,1186.0
438,,0.0,1186.0
439,,100.0,1186.0
440,,100.0,1186.0
441,,100.0,1186.0
442,,100.0,1186.0
443,,20.0,1186.0
444,,13.0,1186.0
445,,0.0,1186.0
446,,0.0,1186.0
447,,24.0,1186.0
448,,100.0,1186.0
449,,100.0,1186.0
450,,100.0,1186.0
451,,100.0,1186.0
452,,100.0,1186.0
453,,100.0,1186.0
454,,0.0,1186.0
455,,50.0,1186.0
456,,4.0,1187.0
457,,3.0,1187.0
458,,50.0,1187.0
459,,0.0,1187.0
460,,50.0,1187.0
461,,0.0,1187.0
462,,2.0,1187.0
463,,98.0,1187.0
464,,100.0,1187.0
465,,97.0,1187.0
466,,99.0,1187.0
467,,46.0,1187.0
468,,2.0,1187.0
469,,50.0,1187.0
470,,1.0,1187.0
471,,98.0,1187.0
472,,99.0,1187.0
473,,99.0,1187.0
