,Model,Human,Ind
0,50.0,0.0,1117.0
1,50.0,2.0,1117.0
2,50.0,3.0,1117.0
3,50.0,97.0,1117.0
4,50.0,100.0,1117.0
5,50.0,97.0,1117.0
6,50.0,99.0,1117.0
7,0.0,3.0,1117.0
8,0.0,1.0,1117.0
9,50.0,1.0,1117.0
10,50.0,99.0,1117.0
11,50.0,99.0,1117.0
12,50.0,98.0,1117.0
13,0.0,99.0,1117.0
14,50.0,60.0,1117.0
15,50.0,46.0,1117.0
16,0.0,3.0,1117.0
17,50.0,1.0,1117.0
18,0.0,5.0,1117.0
19,50.0,13.0,1117.0
20,0.0,99.0,1117.0
21,50.0,97.0,1117.0
22,0.0,99.0,1117.0
23,50.0,97.0,1117.0
24,50.0,0.0,1101.0
25,50.0,0.0,1101.0
26,50.0,0.0,1101.0
27,50.0,99.0,1101.0
28,50.0,100.0,1101.0
29,50.0,,1101.0
30,50.0,100.0,1101.0
31,0.0,0.0,1101.0
32,0.0,0.0,1101.0
33,50.0,0.0,1101.0
34,50.0,100.0,1101.0
35,50.0,100.0,1101.0
36,50.0,100.0,1101.0
37,0.0,0.0,1101.0
38,50.0,100.0,1101.0
39,50.0,,1101.0
40,0.0,0.0,1101.0
41,50.0,0.0,1101.0
42,0.0,100.0,1101.0
43,50.0,100.0,1101.0
44,0.0,100.0,1101.0
45,50.0,100.0,1101.0
46,0.0,100.0,1101.0
47,50.0,100.0,1101.0
48,50.0,99.0,1138.0
49,50.0,99.0,1138.0
50,50.0,20.0,1138.0
51,50.0,99.0,1138.0
52,50.0,98.0,1138.0
53,50.0,100.0,1138.0
54,50.0,100.0,1138.0
55,0.0,1.0,1138.0
56,0.0,1.0,1138.0
57,50.0,1.0,1138.0
58,50.0,99.0,1138.0
59,50.0,99.0,1138.0
60,50.0,100.0,1138.0
61,0.0,100.0,1138.0
62,50.0,99.0,1138.0
63,50.0,49.0,1138.0
64,0.0,1.0,1138.0
65,50.0,1.0,1138.0
66,0.0,100.0,1138.0
67,50.0,1.0,1138.0
68,0.0,99.0,1138.0
69,50.0,99.0,1138.0
70,0.0,100.0,1138.0
71,50.0,99.0,1138.0
72,50.0,0.0,1114.0
73,50.0,0.0,1114.0
74,50.0,1.0,1114.0
75,50.0,86.0,1114.0
76,50.0,100.0,1114.0
77,50.0,99.0,1114.0
78,50.0,98.0,1114.0
79,0.0,2.0,1114.0
80,0.0,0.0,1114.0
81,50.0,2.0,1114.0
82,50.0,98.0,1114.0
83,50.0,98.0,1114.0
84,50.0,99.0,1114.0
85,0.0,98.0,1114.0
86,50.0,99.0,1114.0
87,50.0,74.0,1114.0
88,0.0,1.0,1114.0
89,50.0,1.0,1114.0
90,0.0,100.0,1114.0
91,50.0,98.0,1114.0
92,0.0,99.0,1114.0
93,50.0,100.0,1114.0
94,0.0,98.0,1114.0
95,50.0,,1114.0
96,50.0,0.0,1100.0
97,50.0,0.0,1100.0
98,50.0,0.0,1100.0
99,50.0,100.0,1100.0
100,50.0,100.0,1100.0
101,50.0,,1100.0
102,50.0,100.0,1100.0
103,0.0,0.0,1100.0
104,0.0,0.0,1100.0
105,50.0,0.0,1100.0
