,Model,Human,Ind
0,17.48936170212766,0.0,1117.0
1,20.56,2.0,1117.0
2,7.795918367346939,3.0,1117.0
3,95.625,97.0,1117.0
4,87.45833333333333,100.0,1117.0
5,97.75,97.0,1117.0
6,90.81632653061224,99.0,1117.0
7,17.08,3.0,1117.0
8,3.7708333333333335,1.0,1117.0
9,7.170212765957447,1.0,1117.0
10,96.55102040816327,99.0,1117.0
11,93.97872340425532,99.0,1117.0
12,94.26530612244898,98.0,1117.0
13,92.53061224489795,99.0,1117.0
14,87.04081632653062,60.0,1117.0
15,68.1304347826087,46.0,1117.0
16,2.125,3.0,1117.0
17,13.186046511627907,1.0,1117.0
18,56.765957446808514,5.0,1117.0
19,55.44,13.0,1117.0
20,84.81632653061224,99.0,1117.0
21,64.16326530612245,97.0,1117.0
22,93.80851063829788,99.0,1117.0
23,94.26086956521739,97.0,1117.0
24,17.48936170212766,0.0,1101.0
25,20.56,0.0,1101.0
26,7.795918367346939,0.0,1101.0
27,95.625,99.0,1101.0
28,87.45833333333333,100.0,1101.0
29,97.75,,1101.0
30,90.81632653061224,100.0,1101.0
31,17.08,0.0,1101.0
32,3.7708333333333335,0.0,1101.0
33,7.170212765957447,0.0,1101.0
34,96.55102040816327,100.0,1101.0
35,93.97872340425532,100.0,1101.0
36,94.26530612244898,100.0,1101.0
37,92.53061224489795,0.0,1101.0
38,87.04081632653062,100.0,1101.0
39,68.1304347826087,,1101.0
40,2.125,0.0,1101.0
41,13.186046511627907,0.0,1101.0
42,56.765957446808514,100.0,1101.0
43,55.44,100.0,1101.0
44,84.81632653061224,100.0,1101.0
45,64.16326530612245,100.0,1101.0
46,93.80851063829788,100.0,1101.0
47,94.26086956521739,100.0,1101.0
48,17.48936170212766,99.0,1138.0
49,20.56,99.0,1138.0
50,7.795918367346939,20.0,1138.0
51,95.625,99.0,1138.0
52,87.45833333333333,98.0,1138.0
53,97.75,100.0,1138.0
54,90.81632653061224,100.0,1138.0
55,17.08,1.0,1138.0
56,3.7708333333333335,1.0,1138.0
57,7.170212765957447,1.0,1138.0
58,96.55102040816327,99.0,1138.0
59,93.97872340425532,99.0,1138.0
60,94.26530612244898,100.0,1138.0
