,Model,Human,Ind
0,90.0,0.0,1117.0
1,80.0,2.0,1117.0
2,100.0,3.0,1117.0
3,90.0,97.0,1117.0
4,80.0,100.0,1117.0
5,60.0,97.0,1117.0
6,10.0,99.0,1117.0
7,60.0,3.0,1117.0
8,,1.0,1117.0
9,100.0,1.0,1117.0
10,60.0,99.0,1117.0
11,,99.0,1117.0
12,,98.0,1117.0
13,80.0,99.0,1117.0
14,,60.0,1117.0
15,,46.0,1117.0
16,,3.0,1117.0
17,,1.0,1117.0
18,60.0,5.0,1117.0
19,50.0,13.0,1117.0
20,10.0,99.0,1117.0
21,,97.0,1117.0
22,,99.0,1117.0
23,50.0,97.0,1117.0
24,90.0,0.0,1101.0
25,80.0,0.0,1101.0
26,100.0,0.0,1101.0
27,90.0,99.0,1101.0
28,80.0,100.0,1101.0
29,60.0,,1101.0
30,10.0,100.0,1101.0
31,60.0,0.0,1101.0
32,,0.0,1101.0
33,100.0,0.0,1101.0
34,60.0,100.0,1101.0
35,,100.0,1101.0
36,,100.0,1101.0
37,80.0,0.0,1101.0
38,,100.0,1101.0
39,,,1101.0
40,,0.0,1101.0
41,,0.0,1101.0
42,60.0,100.0,1101.0
43,50.0,100.0,1101.0
44,10.0,100.0,1101.0
45,,100.0,1101.0
46,,100.0,1101.0
47,50.0,100.0,1101.0
48,90.0,99.0,1138.0
49,80.0,99.0,1138.0
50,100.0,20.0,1138.0
51,90.0,99.0,1138.0
52,80.0,98.0,1138.0
53,60.0,100.0,1138.0
54,10.0,100.0,1138.0
55,60.0,1.0,1138.0
56,,1.0,1138.0
57,100.0,1.0,1138.0
58,60.0,99.0,1138.0
59,,99.0,1138.0
60,,100.0,1138.0
61,80.0,100.0,1138.0
62,,99.0,1138.0
63,,49.0,1138.0
64,,1.0,1138.0
65,,1.0,1138.0
66,60.0,100.0,1138.0
67,50.0,1.0,1138.0
68,10.0,99.0,1138.0
69,,99.0,1138.0
70,,100.0,1138.0
71,50.0,99.0,1138.0
72,90.0,0.0,1114.0
73,80.0,0.0,1114.0
74,100.0,1.0,1114.0
75,90.0,86.0,1114.0
76,80.0,100.0,1114.0
77,60.0,99.0,1114.0
78,10.0,98.0,1114.0
79,60.0,2.0,1114.0
80,,0.0,1114.0
81,100.0,2.0,1114.0
82,60.0,98.0,1114.0
83,,98.0,1114.0
84,,99.0,1114.0
85,80.0,98.0,1114.0
86,,99.0,1114.0
87,,74.0,1114.0
88,,1.0,1114.0
89,,1.0,1114.0
90,60.0,100.0,1114.0
