,Model,Human,Ind
0,100.0,50.0,1192.0
1,50.0,0.0,1192.0
2,100.0,0.0,1192.0
3,100.0,,1192.0
4,50.0,0.0,1192.0
5,0.0,1.0,1192.0
6,50.0,0.0,1192.0
7,0.0,100.0,1192.0
8,100.0,100.0,1192.0
9,100.0,100.0,1192.0
10,0.0,54.0,1192.0
11,100.0,44.0,1192.0
12,100.0,0.0,1192.0
13,50.0,0.0,1192.0
14,50.0,17.0,1192.0
15,100.0,75.0,1192.0
16,100.0,100.0,1192.0
17,100.0,100.0,1192.0
18,50.0,99.0,1192.0
19,100.0,100.0,1192.0
20,100.0,100.0,1192.0
21,100.0,98.0,1192.0
22,100.0,24.0,1192.0
23,100.0,100.0,1192.0
24,100.0,21.0,1189.0
25,50.0,28.0,1189.0
26,100.0,43.0,1189.0
27,100.0,56.0,1189.0
28,50.0,42.0,1189.0
29,0.0,56.0,1189.0
30,50.0,58.0,1189.0
31,0.0,56.0,1189.0
32,100.0,62.0,1189.0
33,100.0,61.0,1189.0
34,0.0,55.0,1189.0
35,100.0,57.0,1189.0
36,100.0,56.0,1189.0
37,50.0,,1189.0
38,50.0,43.0,1189.0
39,100.0,49.0,1189.0
40,100.0,61.0,1189.0
41,100.0,58.0,1189.0
42,50.0,56.0,1189.0
43,100.0,58.0,1189.0
44,100.0,72.0,1189.0
45,100.0,58.0,1189.0
46,100.0,38.0,1189.0
47,100.0,60.0,1189.0
48,100.0,3.0,1154.0
49,50.0,3.0,1154.0
50,100.0,4.0,1154.0
51,100.0,3.0,1154.0
52,50.0,0.0,1154.0
53,0.0,1.0,1154.0
54,50.0,1.0,1154.0
55,0.0,100.0,1154.0
56,100.0,98.0,1154.0
57,100.0,1.0,1154.0
58,0.0,98.0,1154.0
59,100.0,12.0,1154.0
60,100.0,1.0,1154.0
61,50.0,2.0,1154.0
62,50.0,1.0,1154.0
63,100.0,50.0,1154.0
64,100.0,98.0,1154.0
65,100.0,97.0,1154.0
66,50.0,96.0,1154.0
67,100.0,97.0,1154.0
68,100.0,98.0,1154.0
69,100.0,98.0,1154.0
70,100.0,7.0,1154.0
71,100.0,49.0,1154.0
72,100.0,0.0,1163.0
73,50.0,11.0,1163.0
74,100.0,46.0,1163.0
75,100.0,10.0,1163.0
76,50.0,13.0,1163.0
77,0.0,1.0,1163.0
78,50.0,9.0,1163.0
79,0.0,89.0,1163.0
80,100.0,99.0,1163.0
81,100.0,97.0,1163.0
82,0.0,50.0,1163.0
83,100.0,11.0,1163.0
84,100.0,5.0,1163.0
85,50.0,7.0,1163.0
86,50.0,2.0,1163.0
87,100.0,94.0,1163.0
88,100.0,97.0,1163.0
89,100.0,94.0,1163.0
90,50.0,79.0,1163.0
91,100.0,97.0,1163.0
92,100.0,60.0,1163.0
93,100.0,91.0,1163.0
94,100.0,4.0,1163.0
95,100.0,50.0,1163.0
96,100.0,2.0,1171.0
97,50.0,4.0,1171.0
98,100.0,50.0,1171.0
99,100.0,5.0,1171.0
100,50.0,2.0,1171.0
101,0.0,1.0,1171.0
102,50.0,2.0,1171.0
103,0.0,,1171.0
104,100.0,98.0,1171.0
105,100.0,98.0,1171.0
106,0.0,91.0,1171.0
107,100.0,50.0,1171.0
108,100.0,25.0,1171.0
109,50.0,3.0,1171.0
110,50.0,1.0,1171.0
111,100.0,57.0,1171.0
112,100.0,98.0,1171.0
113,100.0,98.0,1171.0
114,50.0,96.0,1171.0
115,100.0,99.0,1171.0
116,100.0,97.0,1171.0
117,100.0,96.0,1171.0
118,100.0,96.0,1171.0
119,100.0,51.0,1171.0
120,100.0,0.0,1141.0
121,50.0,0.0,1141.0
122,100.0,50.0,1141.0
123,100.0,0.0,1141.0
124,50.0,1.0,1141.0
125,0.0,2.0,1141.0
126,50.0,0.0,1141.0
127,0.0,98.0,1141.0
128,100.0,100.0,1141.0
129,100.0,100.0,1141.0
130,0.0,93.0,1141.0
131,100.0,40.0,1141.0
132,100.0,40.0,1141.0
133,50.0,2.0,1141.0
134,50.0,0.0,1141.0
135,100.0,100.0,1141.0
136,100.0,100.0,1141.0
137,100.0,100.0,1141.0
138,50.0,100.0,1141.0
