,Model,Human
0,1.0,-0.7021743259
1,0.0,1.312890426
2,10.0,0.8552248893
3,0.0,-0.5958700695
4,10.0,-0.9376312961
5,0.0,1.410892166
6,10.0,-0.3912658689
7,1.0,-0.5549499915
8,10.0,-0.5377639684
9,0.0,1.327349609
10,3.0,0.6125110271
11,3.0,-0.5397121388
12,0.0,1.059263987
13,1.0,-0.3566737016
14,3.0,-1.039804088
15,10.0,-0.5239258645
16,10.0,0.9848990885
17,10.0,0.7325850004
18,0.0,-0.5755398907
19,10.0,-0.119997015
20,3.0,-0.9311085619
21,10.0,-0.5093275041
22,3.0,-0.451942651
23,10.0,-0.7080695465
24,3.0,1.139073776
