,Model,Human
0,5.0,-0.7021743259
1,8.0,1.312890426
2,2.0,0.8552248893
3,2.0,-0.5958700695
4,2.0,-0.9376312961
5,9.0,1.410892166
6,1.0,-0.3912658689
7,2.0,-0.5549499915
8,2.0,-0.5377639684
9,8.0,1.327349609
10,8.0,0.6125110271
11,8.0,-0.5397121388
12,7.0,1.059263987
13,2.0,-0.3566737016
14,8.0,-1.039804088
15,8.0,-0.5239258645
16,1.0,0.9848990885
17,8.0,0.7325850004
18,2.0,-0.5755398907
19,7.0,-0.119997015
20,0.0,-0.9311085619
21,0.0,-0.5093275041
22,0.0,-0.451942651
23,2.0,-0.7080695465
24,9.0,1.139073776
